day,A,E,H,I,R,S,V,R_t
135.0,1.020607,3.9238362,21.677683,3.976306,78.55083,10070.73,1372.9639,2.5071285754030526
136.0,1.037,3.9540431,21.64629,4.0373077,78.474754,10074.636,1351.2617,2.5119704009194868
137.0,1.0390235,3.9951751,22.381601,4.0209455,79.536224,10066.195,1374.6565,2.5062205569281946
138.0,1.0563062,4.014079,21.80592,4.089743,79.95877,10040.771,1401.1476,2.499670163063196
139.0,1.0636632,3.9967446,22.41477,4.1149445,81.33954,10048.926,1381.8478,2.503681116136901
140.0,1.0779239,4.068701,22.696388,4.15738,80.32015,10032.89,1397.8536,2.4998241892724553
141.0,1.0709252,4.0612936,22.661755,4.201577,82.57144,10024.44,1413.8357,2.4956046808361396
142.0,1.0947119,4.0745897,22.85922,4.248085,82.60389,10014.859,1423.1035,2.493219399248579
143.0,1.0938649,4.145317,23.238173,4.201589,83.32686,10004.755,1432.0831,2.490703773392188
144.0,1.1045508,4.1530128,23.61867,4.3042016,83.899376,10007.008,1428.7562,2.491264637451199
145.0,1.1080807,4.2265787,23.843193,4.3304496,84.08435,9972.598,1451.6344,2.4850684265520733
146.0,1.1137624,4.2312427,23.574417,4.3207464,84.712685,9968.589,1459.3715,2.4831898548811915
147.0,1.1286473,4.2738853,24.020979,4.3260655,84.77241,9941.395,1463.0161,2.481354501255055
148.0,1.1246322,4.232392,24.096346,4.387495,86.10232,9951.748,1481.1527,2.477507588616205
149.0,1.1330693,4.324946,24.14691,4.4155664,87.13346,9930.028,1501.6611,2.4721005335339212
150.0,1.1352121,4.33931,24.468632,4.4171324,86.49537,9917.159,1490.3452,2.4741400547296406
151.0,1.1556914,4.334365,25.092196,4.506672,87.33863,9912.644,1517.773,2.4677724217057038
152.0,1.154453,4.4127197,24.944338,4.509838,89.78059,9912.39,1509.116,2.4691062120652587
153.0,1.1593585,4.4130616,25.151962,4.521728,89.075005,9898.442,1530.08,2.4642371405061794
154.0,1.1670021,4.4226804,25.479317,4.514726,89.4024,9873.229,1554.629,2.457960052334003
155.0,1.1848266,4.5198264,26.047651,4.618082,90.840485,9864.292,1561.3408,2.4557352832670385
156.0,1.1887237,4.479902,25.88044,4.6422186,90.97092,9870.395,1555.2875,2.457254411173638
157.0,1.1987691,4.4990973,25.812473,4.673135,91.20738,9846.205,1579.2482,2.4512324205372007
158.0,1.2281598,4.6050816,26.499231,4.6927576,90.9324,9852.153,1572.7319,2.4527135054834743
159.0,1.213648,4.6044,26.258835,4.7082105,92.37187,9819.216,1580.3105,2.449636380848368
160.0,1.2264154,4.666613,27.137226,4.7202764,92.89944,9819.761,1588.5739,2.4475853324176033
161.0,1.2290722,4.6536994,26.997547,4.773288,93.314735,9806.057,1603.3107,2.443883419175227
162.0,1.224851,4.6661444,27.227053,4.798249,95.00195,9786.273,1633.6514,2.4363125401505137
163.0,1.2546746,4.742148,27.389713,4.8361273,94.8547,9785.069,1634.6974,2.4360125594066884
164.0,1.2619368,4.787138,27.563025,4.887493,95.03264,9763.829,1633.9683,2.435259866885727
165.0,1.2643583,4.7846313,28.141174,4.9251857,95.09115,9752.903,1645.1003,2.432349055779891
166.0,1.2654382,4.849249,28.091854,4.9277043,97.94028,9741.381,1667.1139,2.4266642933151217
167.0,1.2852275,4.8316345,28.585464,4.9131055,97.08792,9740.076,1661.9995,2.4277671144008575
168.0,1.2934654,4.9001455,28.629585,4.980469,97.41826,9727.113,1672.5735,2.424929105095697
169.0,1.2931399,4.914772,29.362946,5.0323887,98.78867,9709.32,1704.1318,2.4171546922102918
170.0,1.3073909,4.885328,29.150206,5.050762,98.7754,9703.048,1710.6266,2.4155932644365827
171.0,1.3114581,4.9505043,29.693401,5.108683,99.801125,9699.347,1711.393,2.4149307858117943
172.0,1.335017,5.018801,29.656494,5.1285167,100.70054,9685.837,1719.1995,2.412554805000168
173.0,1.3139987,5.0819383,29.925234,5.1479044,102.19729,9662.561,1746.617,2.4055137997057168
174.0,1.3333956,5.0436926,30.50971,5.188643,102.576904,9679.589,1728.6024,2.4097530808726524
175.0,1.3409649,5.0758233,30.544746,5.262926,102.51965,9648.183,1755.4713,2.4028590626644353
176.0,1.3498261,5.089865,30.651218,5.25211,103.524345,9650.4795,1756.497,2.4025062070110494
177.0,1.3603712,5.1147637,30.949013,5.2804565,103.80887,9628.944,1760.651,2.4006224341182767
178.0,1.3744109,5.172735,31.267256,5.386606,104.415215,9620.767,1782.16,2.395586245481385
179.0,1.3908998,5.220513,31.028193,5.334438,105.031235,9603.046,1801.7931,2.3906974233080955
180.0,1.3826647,5.2671413,31.708227,5.3876224,106.22454,9603.604,1797.3646,2.3912307366403516
181.0,1.4164401,5.2845902,31.907255,5.4707375,106.21389,9585.09,1817.4606,2.3862274216194233
182.0,1.414562,5.3537126,32.2312,5.4414153,106.939865,9583.958,1802.8141,2.3889834556774994
183.0,1.4145175,5.373444,32.657974,5.490073,108.39907,9548.5625,1838.6539,2.379665746213038
184.0,1.426025,5.372172,32.677673,5.546272,108.67499,9556.727,1836.5314,2.380379559647156
185.0,1.4363878,5.4959006,33.123,5.5177712,109.482346,9536.372,1839.988,2.3785106130491465
186.0,1.4304234,5.4823017,33.205795,5.560348,109.62191,9537.733,1858.7186,2.3746620938864798
187.0,1.4470214,5.5159492,33.49376,5.6062565,110.95609,9511.192,1884.6317,2.367830531109576
188.0,1.4709839,5.4803843,33.75971,5.6513033,111.395035,9495.351,1899.7355,2.3638866227414566
189.0,1.4701829,5.585564,34.315464,5.7103806,112.84365,9500.451,1892.4675,2.365156327784475
190.0,1.4686733,5.5772057,34.445007,5.728916,112.308685,9480.636,1893.0416,2.3642420909400776
191.0,1.484289,5.634398,34.360493,5.768923,114.46867,9467.633,1908.4803,2.3600532428939576
192.0,1.4786241,5.675708,34.908936,5.801279,115.19034,9471.596,1909.2283,2.3598039247633666
193.0,1.5111285,5.681553,35.029095,5.852628,114.08054,9438.466,1933.977,2.353441887567684
194.0,1.5131079,5.7496324,35.39544,5.8790016,115.488205,9443.14,1945.6783,2.35088862421672
195.0,1.5279404,5.7330832,35.70417,5.9414983,117.185524,9443.218,1922.8134,2.355132004979202
196.0,1.5344009,5.8093176,35.850742,5.960977,118.67554,9435.229,1949.7839,2.3489191222043457
197.0,1.5418923,5.832828,35.82456,5.9913573,118.423615,9419.397,1965.7812,2.3449881926127696
198.0,1.5697414,5.8842998,36.443153,6.047717,118.63925,9392.32,1978.1879,2.3410235052215667
199.0,1.5476905,5.9176702,36.680862,6.0550303,120.68135,9377.261,2004.7004,2.334487855703106
200.0,1.5777373,5.927882,36.946194,6.0887923,120.3466,9380.502,2001.4553,2.335294620477751
201.0,1.578692,5.944505,37.44666,6.1195874,121.044525,9361.602,1999.5276,2.3345462437947697
202.0,1.5836729,6.037127,37.885868,6.170868,123.16741,9343.131,2005.1584,2.3319881418145028
