week,S,I,A,H,C,R_t
206.0,0.0,30.508915,0.5423876,0.0,512.22107,0.0
207.0,0.15450965,29.538395,0.5423876,0.0,513.1607,0.0042008298316190485
208.0,0.031917512,28.817907,0.5423876,0.0,513.6512,0.0008683412227066551
209.0,0.0,28.54938,0.5423876,0.0,513.2431,0.0
210.0,0.0,27.64407,0.5423876,0.0,513.879,0.0
211.0,0.0,27.727404,0.5423876,0.0,515.02606,0.0
212.0,0.029592833,26.75614,0.5423876,0.0,514.597,0.000806757824100004
213.0,0.22518553,26.753693,0.5423876,0.0,515.5142,0.00612644001252202
214.0,0.0,26.721533,0.5423876,0.0,515.4402,0.0
215.0,0.0,25.8414,0.5423876,0.0,515.70764,0.0
216.0,0.14226396,25.82219,0.5423876,0.0,515.90094,0.0038749393903331495
217.0,0.0,24.98329,0.5423876,0.0,516.53345,0.0
218.0,0.0,24.631916,0.5423876,0.0,516.9675,0.0
219.0,0.018387614,25.045944,0.5423876,0.0,517.12854,0.0005005336236057187
220.0,0.0,24.591843,0.5423876,0.0,517.6608,0.0
221.0,0.0,23.56132,0.5423876,0.0,517.8933,0.0
222.0,0.0,23.726734,0.5423876,0.0,518.9508,0.0
223.0,0.22092351,23.862356,0.5423876,0.0,518.84625,0.006005660125799636
224.0,0.03295494,22.74201,0.5423876,0.0,519.04974,0.0008976831919416815
225.0,0.27747583,22.59908,0.5423876,0.0,519.3807,0.007552340307018959
226.0,0.021578118,22.079485,0.5423876,0.0,519.56683,0.0005879518171271815
227.0,0.0,22.052664,0.5423876,0.0,519.86035,0.0
228.0,0.0,21.819891,0.5423876,0.0,520.6371,0.0
229.0,0.15152003,21.29277,0.5423876,0.0,520.3248,0.004127785717403049
230.0,0.0,21.48908,0.5423876,0.0,520.70374,0.0
231.0,0.0,21.254873,0.5423876,0.0,521.7553,0.0
232.0,0.0,20.494831,0.5423876,0.0,521.7054,0.0
233.0,0.0,20.284882,0.5423876,0.0,521.4809,0.0
234.0,0.03542689,20.197704,0.5423876,0.0,521.8849,0.0009644968104409513
235.0,0.0821411,19.628723,0.5423876,0.0,522.29877,0.0022367376982524037
236.0,0.0,19.2951,0.5423876,0.0,522.36426,0.0
237.0,0.27150857,18.83436,0.5423876,0.0,523.1193,0.007390359591465317
238.0,0.0,18.577963,0.5423876,0.0,522.821,0.0
239.0,0.0,18.90978,0.5423876,0.0,523.1112,0.0
240.0,0.0,17.942507,0.5423876,0.0,523.3536,0.0
241.0,0.0,17.280567,0.5423876,0.0,524.1969,0.0
242.0,0.0,17.36367,0.5423876,0.0,524.4612,0.0
243.0,0.0,17.74835,0.5423876,0.0,524.8897,0.0
244.0,0.36513874,17.272406,0.5423876,0.0,525.39636,0.009924150070567794
245.0,0.0,16.947042,0.5423876,0.0,524.9914,0.0
246.0,0.21100076,16.354546,0.5423876,0.0,525.5973,0.005744019794425414
247.0,0.0,16.645704,0.5423876,0.0,526.0311,0.0
248.0,0.0,16.273712,0.5423876,0.0,525.2825,0.0
249.0,0.0,15.421978,0.5423876,0.0,525.7502,0.0
250.0,0.035412934,15.515089,0.5423876,0.0,525.4821,0.0009660491269950494
