week,S,I,P,C,E,Q,D,A,W,R,R_t
205.0,278.247,27.837173,0.0,152.40573,21.425606,26.42935,0.0,0.0,6.9326634,2777.8884,1.5186407036556395
206.0,270.25934,25.33421,0.0,154.84875,21.44319,24.727674,0.0,0.0,7.6475806,2777.5513,1.4795810252819568
207.0,279.59738,22.53853,0.0,150.5524,19.496614,25.518517,0.0,0.0,7.740268,2783.0764,1.5276172043109226
208.0,289.16718,21.72712,0.0,151.9219,17.993925,25.501131,0.0,0.005649926,5.1234727,2782.5762,1.5760056446600006
209.0,279.89532,29.207554,0.0,150.99217,20.35556,23.952188,0.0,0.0,6.4773817,2770.3777,1.5320466209495982
210.0,276.0895,27.260736,0.0,152.14044,18.13206,26.01017,0.0,0.0022798702,7.3691096,2764.9521,1.5159334676951854
211.0,280.27206,23.775562,0.0,149.95279,19.183832,24.873646,0.0,0.0075307065,6.3119626,2773.201,1.53575676250967
212.0,290.84854,29.769224,0.0,150.75064,22.202337,24.415426,0.0,0.0,7.0448275,2778.4675,1.581533663990681
213.0,275.1157,28.104776,0.0,150.26779,20.608234,26.029682,0.0,0.009148891,6.867093,2781.86,1.502574177287205
214.0,285.8227,28.189274,0.0,149.82315,19.10589,24.649029,0.0,0.00017440213,6.119445,2772.721,1.5618531441425345
215.0,276.78336,24.143557,0.0,146.75946,20.155981,25.212471,0.0,0.008475933,7.925745,2782.0498,1.5148589541921973
216.0,281.15863,25.813803,0.0,149.62457,21.086395,23.233143,0.0,0.0,6.582929,2766.8376,1.5422705637903686
217.0,286.7213,29.5639,0.0,146.59056,18.444788,23.947363,0.0,0.0,6.3349752,2774.802,1.566878804684636
218.0,279.04684,28.870575,0.0,148.88234,18.291546,23.130604,0.0,0.0,6.1204877,2763.546,1.533495848492265
219.0,294.94843,25.310566,0.0,144.01897,22.428423,26.826202,0.0,0.0017400312,6.4577107,2772.3164,1.609002735129936
