day,S,I,P,C,E,Q,D,A,W,R,R_t
63.0,21.445690155029297,1174.21533203125,0.0,203.75718688964844,596.1222534179688,176.15838623046875,0.0,1.0031858682632446,205.8539581298828,1112.656005859375,0.11700807964633457
64.0,20.003281048366002,1153.160121372768,0.0,211.1262926374163,564.3270481654575,181.6414576939174,0.0,0.9856128181729998,209.09809003557478,1150.9747488839287,0.10919783750317563
65.0,18.560871941702707,1132.1049107142858,0.0,218.49539838518416,532.5318429129464,187.12452915736608,0.0,0.9680397680827549,212.34222194126673,1189.293491908482,0.1013875953600167
66.0,17.11846283503941,1111.0497000558037,0.0,225.864504132952,500.73663766043524,192.60760062081474,0.0,0.9504667179925101,215.5863538469587,1227.6122349330358,0.09357735321685776
67.0,15.676053728376116,1089.9944893973213,0.0,233.23360988071985,468.94143240792414,198.0906720842634,0.0,0.9328936679022652,218.83048575265067,1265.9309779575892,0.08576711107369882
68.0,14.233644621712822,1068.9392787388392,0.0,240.60271562848772,437.14622715541293,203.57374354771204,0.0,0.9153206178120205,222.07461765834265,1304.249720982143,0.07795686893053988
69.0,12.791235515049525,1047.884068080357,0.0,247.97182137625558,405.3510219029018,209.05681501116072,0.0,0.8977475677217756,225.3187495640346,1342.5684640066963,0.07014662678738093
70.0,11.34882640838623,1026.828857421875,0.0,255.34092712402344,373.5558166503906,214.53988647460938,0.0,0.8801745176315308,228.56288146972656,1380.88720703125,0.062336384644222
71.0,11.924104826790947,1002.3338361467634,0.0,261.3117021833147,353.43899318150113,218.5840083530971,0.0,0.8646366936819894,229.04844229561942,1419.327671595982,0.06538336229003601
72.0,12.499383245195661,977.8388148716518,0.0,267.28247724260603,333.3221697126116,222.62813023158483,0.0,0.8490988697324481,229.53400312151228,1457.7681361607142,0.06843033993585002
73.0,13.074661663600377,953.3437935965402,0.0,273.2532523018973,313.2053462437221,226.67225211007255,0.0,0.8335610457829067,230.01956394740515,1496.2086007254466,0.07147731758166403
74.0,13.649940082005092,928.8487723214286,0.0,279.22402736118863,293.0885227748326,230.71637398856026,0.0,0.8180232218333653,230.50512477329798,1534.6490652901787,0.07452429522747805
75.0,14.225218500409808,904.3537510463169,0.0,285.1948024204799,272.97169930594305,234.76049586704798,0.0,0.8024853978838239,230.99068559919084,1573.0895298549108,0.07757127287329206
76.0,14.800496918814524,879.8587297712054,0.0,291.1655774797712,252.85487583705356,238.80461774553572,0.0,0.7869475739342826,231.4762464250837,1611.529994419643,0.08061825051910607
77.0,15.375775337219238,855.3637084960938,0.0,297.1363525390625,232.73805236816406,242.84873962402344,0.0,0.7714097499847412,231.96180725097656,1649.970458984375,0.08366522816492009
78.0,13.43467310496739,831.2337820870536,0.0,301.9889395577567,220.57560294015067,246.0281720842634,0.0,0.7571072748729161,230.7275390625,1676.2971888950892,0.07311456162165214
79.0,11.49357087271554,807.1038556780134,0.0,306.8415265764509,208.41315351213728,249.20760454450334,0.0,0.7428047997610909,229.49327087402344,1702.6239188058037,0.0625638950783842
80.0,9.552468640463694,782.9739292689733,0.0,311.6941135951451,196.25070408412387,252.3870370047433,0.0,0.7285023246492658,228.25900268554688,1728.950648716518,0.05201322853511624
81.0,7.611366408211844,758.8440028599331,0.0,316.5467006138393,184.0882546561105,255.56646946498327,0.0,0.7141998495374408,227.0247344970703,1755.277378627232,0.04146256199184829
