week,S,I,W,V,P,C,Q,R,R_t
143.0,0.0,0.0,1.4990348,55.444622,0.0,17.98247,0.0,3041.4988,0.0
144.0,0.0,0.0,2.2325552,55.38965,0.0,13.944628,0.0,3055.884,0.0
145.0,20.36138,5.2536306,0.0,55.633587,0.0,18.62719,0.0,3073.466,0.08941234045886645
146.0,0.0,0.0,1.7422283,55.191727,0.0,18.758211,0.0,3044.4902,0.0
147.0,2.6661158,0.0,1.2398434,55.095924,0.0,18.69848,1.3629843,3053.7646,0.011863736225706622
148.0,0.0,5.26335,0.51801634,55.51008,0.0,16.447449,0.0,3022.1094,0.0
149.0,24.115604,1.9856346,0.03984535,55.307034,0.0,14.517734,0.0,3050.414,0.10680697407626087
150.0,8.285501,0.0,0.0,55.593056,0.0,13.4486685,0.19667892,3043.8325,0.036989844679812506
151.0,0.0,1.8278494,0.0,55.197845,0.0,14.337011,0.6724511,3069.705,0.0
152.0,0.0,1.7622894,0.0,55.380253,0.0,15.640924,0.0,3057.1406,0.0
153.0,0.0,8.245756,0.0,55.389107,0.0,10.757273,0.59089553,3029.1301,0.0
154.0,0.0,10.564427,0.0,55.310535,0.0,13.719918,2.557705,3032.068,0.0
155.0,0.0,0.0,0.3199813,55.078896,0.0,14.817466,0.4721388,3073.7,0.0
156.0,0.0,0.0,0.0,55.41345,0.0,14.260878,0.7548616,3058.9875,0.0
157.0,3.6314306,0.0,0.8259764,55.59742,0.0,17.317762,0.5626266,3072.0022,0.016069295761824826
158.0,3.9019048,0.0,0.0,55.327225,0.0,16.178438,0.84632915,3033.4668,0.017484870063255175
159.0,0.0,0.66328883,0.0,55.563545,0.0,12.908713,1.5033009,3063.2336,0.0
160.0,0.0,0.0,0.0,54.879673,0.0,12.197799,0.6242413,3041.3362,0.0
161.0,11.076791,13.243245,2.9411051,55.64587,0.0,15.285027,0.0,3060.5881,0.048910964523378814
162.0,0.0,0.0,2.4824233,55.30975,0.0,13.337036,0.0,3027.9604,0.0
163.0,15.2744,1.9130107,0.0,55.23569,0.0,6.4921474,1.105948,3033.7664,0.0683568900012362
164.0,0.0,0.0,3.328387,55.594116,0.0,12.270023,2.3017766,3062.4792,0.0
165.0,0.0,0.0,0.23608555,55.48563,0.0,10.617775,2.7794213,3038.4272,0.0
166.0,1.4480156,0.0,0.41412264,55.49038,0.0,9.177412,0.6893589,3047.8845,0.006478367316407574
167.0,0.0,0.0,0.31366354,55.61826,0.0,13.118662,0.0,3055.2366,0.0
168.0,4.73162,0.0,0.0,55.52721,0.0,12.724279,0.0,3064.2356,0.021017069934671978
169.0,5.8424926,2.0146158,2.7656794,55.478127,0.0,12.096553,0.5674066,3026.083,0.026245327047980223
170.0,11.369948,0.0,0.0,55.35501,0.0,9.219878,0.0,3086.0723,0.05010734595594172
171.0,27.314304,0.0,3.0082777,55.4742,0.0,14.441398,0.0,3050.2673,0.12092940279326617
172.0,4.826373,4.5645957,2.21244,55.35964,0.0,9.032504,0.0,3043.2646,0.021576676817221106
173.0,6.441494,6.6923223,0.0,55.030975,0.0,13.3068695,0.68792564,3080.111,0.028385378336928047
174.0,0.0,0.0,2.3785431,55.16995,0.0,10.120008,0.0,3065.3618,0.0
175.0,2.7429056,5.920073,0.0,55.717354,0.0,11.756261,0.0,3063.911,0.012172555685147133
176.0,0.0,11.542326,0.6790797,55.396404,0.0,6.663525,0.0,3044.4585,0.0
177.0,2.4941242,0.0,1.2389596,55.254353,0.0,12.273789,0.8530538,3067.814,0.011073294960868384
178.0,0.0,1.1916462,2.687791,55.359005,0.0,6.67879,3.0837936,3034.253,0.0
179.0,0.0,4.2282486,0.0,55.493073,0.0,3.549184,0.0,3086.767,0.0
180.0,16.749678,0.0,1.9521511,55.941246,0.0,4.3739157,0.0,3035.0098,0.07500039926364127
181.0,2.177031,0.0,0.0,55.68732,0.0,10.851825,1.4875709,3053.3538,0.009712303308209158
182.0,15.096877,4.557525,1.358193,55.542534,0.0,12.465506,0.26295212,3076.9883,0.06647102443734128
183.0,0.0,0.0,6.0224524,55.684513,0.0,5.5705757,0.0,3058.8418,0.0
184.0,10.392347,3.2949078,0.0,55.511345,0.0,5.6462917,0.0,3044.3167,0.04642831339301809
185.0,0.0,4.94315,0.0,55.17969,0.0,7.085935,0.0,3038.916,0.0
186.0,11.580624,0.0,1.4497364,55.62145,0.0,9.118361,0.0,3025.691,0.052023035084087205
187.0,0.0,4.2617626,0.76423335,55.0786,0.0,10.672337,0.0,3042.3938,0.0
188.0,3.950542,10.184246,1.6040214,55.34986,0.0,8.962302,0.82122165,3049.5034,0.017595027186551898
189.0,0.0,0.0,5.008964,55.540115,0.0,4.864748,0.0,3051.0781,0.0
190.0,0.0,1.8785121,0.0,55.285744,0.0,9.555822,0.0,3082.315,0.0
191.0,0.0,10.373412,0.0,55.207928,0.0,6.871127,0.0,3089.0957,0.0
192.0,8.992675,0.86225903,0.50328535,55.25674,0.0,10.069138,3.0203855,3058.739,0.03994751512663668
193.0,7.3586698,0.0,0.4395085,55.001766,0.0,6.8371525,0.23860417,3028.726,0.033098039831104056
194.0,15.52656,2.4425066,0.0,55.41646,0.0,11.836342,0.0,3064.278,0.06869747232827701
195.0,0.0,4.5599513,1.1703275,55.43592,0.0,4.746996,0.0,3042.2031,0.0
196.0,11.767764,0.0,0.0,55.219585,0.0,6.690335,0.0007181684,3031.2134,0.05281467445204483
