week,S,I,Q,R,R_t
128.0,372.41074,0.0,0.00093375007,735.67535,0.6326210745953859
129.0,373.59512,0.20496804,0.0,735.68304,0.6338344283515509
130.0,372.39746,0.15978801,0.0,736.5174,0.6320352010528815
131.0,372.23407,0.15052222,0.0066811903,734.457,0.6330286595692171
132.0,371.76074,0.06282525,0.0,735.7342,0.6318186984619197
133.0,373.63968,0.0,0.021971615,737.7457,0.6328124964369881
134.0,372.73456,0.0,0.0,732.75543,0.6346586122560787
135.0,371.0208,0.11060496,0.0,734.19275,0.631835377617735
136.0,372.2198,0.06514079,0.001563703,733.05396,0.6338678529792284
137.0,371.82,0.0039361697,0.050719365,735.181,0.6322060062076602
138.0,372.232,0.1402127,0.017694062,736.0139,0.6321367201141707
139.0,371.90442,0.038343053,0.015154588,735.32715,0.6322185414452399
140.0,371.85938,0.16623801,0.028872862,736.3875,0.6314821727264204
141.0,371.55347,0.0,0.0022947765,734.23663,0.6324745448738778
142.0,373.19037,0.0,0.0,736.3046,0.6331409615817513
143.0,372.93906,0.0,0.009287997,735.14954,0.6335123352252666
144.0,373.92807,0.048704337,0.0,734.41504,0.6350239289496514
145.0,373.4921,0.0,0.03295448,733.9214,0.6348249940325513
146.0,372.46964,0.028210275,0.0,733.7471,0.6337747283492248
147.0,372.65485,0.046787646,0.009054141,734.3713,0.6336104474365071
148.0,371.5738,0.038931843,0.027873829,735.51685,0.6317293027647998
149.0,373.7738,0.070438474,0.0,734.87836,0.6345725656349775
150.0,373.7379,0.0,0.0,735.98834,0.633937771050058
151.0,373.36536,0.0,0.0,737.1091,0.6328791513770964
152.0,371.4742,0.122429386,0.0,736.0145,0.6313012899345325
153.0,372.67798,0.16943553,0.002550004,735.9243,0.6326826425146379
154.0,371.87753,0.13894004,0.0,735.52014,0.6320292542022725
155.0,372.65656,0.0,0.0,734.3335,0.6336659621755812
156.0,373.16324,0.17070664,0.029365987,735.20844,0.6336221924071849
157.0,369.96155,0.0,0.005716081,737.698,0.6286998895498035
158.0,372.21146,0.0,0.039707985,735.9994,0.6321892566033928
159.0,371.70084,0.20800695,0.0,735.3063,0.6319123791980171
160.0,371.76578,0.1338416,0.0,736.2613,0.6314833644578636
161.0,372.4924,0.0,0.0,736.8427,0.632047895732311
162.0,371.73672,0.0798796,0.0,736.505,0.6313424619490725
163.0,370.95526,0.0,0.0,734.8462,0.6314510808825469
164.0,372.14395,0.06397157,0.0,735.2684,0.6325164980195608
165.0,371.77933,0.015043189,0.003337414,734.6874,0.6324628269528636
166.0,373.4118,0.2262412,0.0,735.47565,0.6337344379305442
167.0,370.7026,0.0,0.0,736.468,0.6302406583537318
168.0,374.6268,0.0,0.024355432,736.32355,0.6347314318718101
169.0,372.89645,0.0,0.0,733.8545,0.6342108732784206
170.0,373.2837,0.0,0.01926256,736.68646,0.6330171997695601
171.0,372.5489,0.19600031,0.0,736.06006,0.6324459991026475
172.0,372.28595,0.0,0.0,734.80096,0.6329803974348651
173.0,372.26404,0.0,0.0,734.31946,0.6332310869184836
174.0,372.31815,0.0,0.024840947,732.9515,0.6340617286740734
175.0,372.9689,0.0,0.0,734.97473,0.6336512388454598
176.0,369.88196,0.0,0.0,734.7699,0.6302793139902304
177.0,372.0062,0.14262533,0.049367998,734.4226,0.6327711601642598
178.0,374.10754,0.04104318,0.0,733.9315,0.6355074414934077
179.0,373.81677,0.0,0.049864385,735.8548,0.6340742855781527
180.0,371.47116,0.030306557,0.0,735.0354,0.6319090084309977
181.0,373.30286,0.0,0.0,736.1154,0.6333756019079476
