day,S,I,R,H,W,P,A,Q,R_t
1514.0,1344.4205845424108,0.00019465109133826836,0.5660932660102844,0.0,0.0001413037202187947,0.0,0.0003153223328159324,1.4761873769332722e-05,5.061844246611858
1515.0,1344.4203055245537,0.00029197663700740255,0.564664363861084,0.0,0.00013944382330269685,0.0,0.0002522578662527459,1.6494914494355074e-05,5.06184948838258
1516.0,1344.4200265066963,0.0003893021826765367,0.5632354617118835,0.0,0.00013758392638659904,0.0,0.00018919339968955943,1.8227955219377433e-05,5.0618547301533034
1517.0,1344.4197474888392,0.0004866277283456709,0.5618065595626831,0.0,0.0001357240294705012,0.0,0.00012612893312637297,1.9960995944399785e-05,5.061859971924026
1518.0,1344.419468470982,0.0005839532740148051,0.5603776574134827,0.0,0.00013386413255440338,0.0,6.306446656318646e-05,2.169403666942214e-05,5.061865213694749
1519.0,1344.419189453125,0.0006812788196839392,0.5589487552642822,0.0,0.00013200423563830554,0.0,0.0,2.3427077394444495e-05,5.061870455465471
1520.0,1344.4201136997767,0.0006289100690212633,0.5594236595290047,2.642234050601441e-10,0.00012027865834949938,0.0,0.0,2.0080352052380996e-05,5.061868879293218
1521.0,1344.4210379464287,0.0005765413183585874,0.5598985637937274,5.284468101202882e-10,0.00010855308106069321,0.0,0.0,1.6733626710317496e-05,5.061867303120965
1522.0,1344.4219621930804,0.0005241725676959114,0.5603734680584499,7.926702151804323e-10,9.682750377188703e-05,0.0,0.0,1.3386901368253998e-05,5.061865726948712
1523.0,1344.422886439732,0.0004718038170332355,0.5608483723231724,1.0568936202405764e-09,8.510192648308086e-05,0.0,0.0,1.0040176026190498e-05,5.061864150776459
1524.0,1344.4238106863838,0.0004194350663705596,0.5613232765878949,1.3211170253007206e-09,7.337634919427469e-05,0.0,0.0,6.693450684127e-06,5.061862574604206
1525.0,1344.4247349330358,0.00036706631570788365,0.5617981808526176,1.5853404303608647e-09,6.165077190546851e-05,0.0,0.0,3.3467253420635e-06,5.0618609984319525
1526.0,1344.4256591796875,0.00031469756504520774,0.5622730851173401,1.8495638354210087e-09,4.992519461666234e-05,0.0,0.0,0.0,5.061859422259699
1527.0,1344.4263392857142,0.0002697407700387495,0.5615195035934448,1.7414013247269671e-09,4.2793023957139144e-05,0.0,0.00018267825778041567,4.744029346121741e-06,5.061861723263798
1528.0,1344.4270193917412,0.00022478397503229123,0.5607659220695496,1.6332388140329256e-09,3.566085329761596e-05,0.0,0.00036535651556083133,9.488058692243482e-06,5.061864024267897
1529.0,1344.427699497768,0.000179827180025833,0.5600123405456543,1.5250763033388839e-09,2.8528682638092763e-05,0.0,0.000548034773341247,1.4232088038365222e-05,5.061866325271995
1530.0,1344.4283796037946,0.00013487038501937474,0.559258759021759,1.4169137926448425e-09,2.1396511978569572e-05,0.0,0.0007307130311216627,1.8976117384486963e-05,5.061868626276095
1531.0,1344.4290597098213,8.991359001291649e-05,0.5585051774978638,1.3087512819508008e-09,1.4264341319046381e-05,0.0,0.0009133912889020783,2.3720146730608705e-05,5.061870927280193
1532.0,1344.4297398158483,4.4956795006458256e-05,0.5577515959739685,1.2005887712567593e-09,7.132170659523187e-06,0.0,0.001096069546682494,2.8464176076730443e-05,5.061873228284292
1533.0,1344.430419921875,0.0,0.5569980144500732,1.0924262605627177e-09,0.0,0.0,0.0012787478044629097,3.320820542285219e-05,5.061875529288391
1534.0,1344.4308210100446,0.00010371337079309992,0.556287910257067,9.363653661966153e-10,1.818397140596062e-05,0.0,0.001096069546682494,2.8464176076730447e-05,5.061878517443746
1535.0,1344.4312220982142,0.00020742674158619984,0.5555778060640607,7.803044718305127e-10,3.636794281192124e-05,0.0,0.0009133912889020784,2.3720146730608705e-05,5.061881505599101
1536.0,1344.4316231863838,0.0003111401123792998,0.5548677018710545,6.242435774644101e-10,5.455191421788186e-05,0.0,0.0007307130311216627,1.8976117384486967e-05,5.061884493754456
1537.0,1344.4320242745537,0.0004148534831723997,0.5541575976780483,4.681826830983076e-10,7.273588562384248e-05,0.0,0.000548034773341247,1.4232088038365225e-05,5.061887481909811
1538.0,1344.4324253627233,0.0005185668539654996,0.5534474934850421,3.1212178873220516e-10,9.09198570298031e-05,0.0,0.0003653565155608314,9.488058692243483e-06,5.061890470065166
1539.0,1344.432826450893,0.0006222802247585995,0.5527373892920358,1.5606089436610248e-10,0.00010910382843576372,0.0,0.00018267825778041564,4.744029346121745e-06,5.0618934582205215
1540.0,1344.4332275390625,0.0007259935955516994,0.5520272850990295,0.0,0.00012728779984172434,0.0,0.0,0.0,5.061896446375877
1541.0,1344.434605189732,0.0006222802247585994,0.5518120782715934,0.0,0.00012336640897306746,0.0,0.0,0.0,5.06189764876701
1542.0,1344.4359828404017,0.0005185668539654996,0.5515968714441571,0.0,0.0001194450181044106,0.0,0.0,0.0,5.061898851158143
1543.0,1344.4373604910713,0.0004148534831723996,0.551381664616721,0.0,0.00011552362723575373,0.0,0.0,0.0,5.061900053549277
1544.0,1344.4387381417412,0.0003111401123792997,0.5511664577892849,0.0,0.00011160223636709685,0.0,0.0,0.0,5.061901255940409
1545.0,1344.4401157924108,0.0002074267415861998,0.5509512509618487,0.0,0.00010768084549843999,0.0,0.0,0.0,5.061902458331542
1546.0,1344.4414934430804,0.00010371337079309985,0.5507360441344125,0.0,0.00010375945462978313,0.0,0.0,0.0,5.061903660722676
1547.0,1344.44287109375,0.0,0.5505208373069763,0.0,9.983806376112625e-05,0.0,0.0,0.0,5.061904863113809
1548.0,1344.44287109375,0.0,0.5495594569614956,0.0,0.00011793021985795349,0.0,0.0,7.669655133213382e-08,5.061908481014083
1549.0,1344.44287109375,0.0,0.5485980766160148,0.0,0.00013602237595478073,0.0,0.0,1.5339310266426764e-07,5.061912098914356
1550.0,1344.44287109375,0.0,0.547636696270534,0.0,0.00015411453205160797,0.0,0.0,2.3008965399640147e-07,5.06191571681463
1551.0,1344.44287109375,0.0,0.5466753159250531,0.0,0.0001722066881484352,0.0,0.0,3.067862053285353e-07,5.061919334714903
1552.0,1344.44287109375,0.0,0.5457139355795724,0.0,0.00019029884424526244,0.0,0.0,3.834827566606691e-07,5.061922952615177
1553.0,1344.44287109375,0.0,0.5447525552340916,0.0,0.00020839100034208968,0.0,0.0,4.6017930799280293e-07,5.061926570515451
