day,S,I,P,R_t
231.0,1308.2856769561768,17103.29345703125,0.0,6.745062240278922
232.0,2194.9065362385345,16269.93709891183,0.0,11.316168524422032
233.0,3081.5273955208913,15436.580740792411,0.0,15.887274808565145
234.0,3968.1482548032486,14603.22438267299,0.0,20.458381092708255
235.0,4854.769114085606,13769.868024553572,0.0,25.029487376851367
236.0,5741.389973367964,12936.511666434151,0.0,29.60059366099448
237.0,6628.0108326503205,12103.155308314732,0.0,34.17169994513759
238.0,7514.631691932678,11269.798950195312,0.0,38.7428062292807
239.0,7516.421237128122,11303.334176199776,0.0,38.752032496859414
240.0,7518.210782323565,11336.86940220424,0.0,38.76125876443812
241.0,7520.000327519009,11370.404628208706,0.0,38.77048503201683
242.0,7521.78987271445,11403.93985421317,0.0,38.77971129959554
243.0,7523.579417909895,11437.475080217635,0.0,38.78893756717425
244.0,7525.3689631053385,11471.010306222099,0.0,38.798163834752955
245.0,7527.158508300781,11504.545532226562,0.0,38.80739010233167
246.0,7376.145454134259,11639.711739676339,0.0,38.02881974312879
247.0,7225.132399967739,11774.877947126117,0.0,37.25024938392592
248.0,7074.119345801217,11910.044154575891,0.0,36.471679024723045
249.0,6923.106291634696,12045.210362025671,0.0,35.693108665520164
250.0,6772.093237468174,12180.376569475446,0.0,34.91453830631729
251.0,6621.080183301654,12315.542776925224,0.0,34.135967947114416
252.0,6470.067129135132,12450.708984375,0.0,33.35739758791154
253.0,6680.726390906742,12223.357177734375,0.0,34.44348288041928
254.0,6891.385652678353,11996.00537109375,0.0,35.52956817292702
255.0,7102.044914449964,11768.653564453125,0.0,36.61565346543476
256.0,7312.704176221576,11541.3017578125,0.0,37.70173875794249
257.0,7523.363437993186,11313.949951171875,0.0,38.78782405045023
258.0,7734.022699764797,11086.59814453125,0.0,39.87390934295797
259.0,7944.6819615364075,10859.246337890625,0.0,40.95999463546571
260.0,7530.577012743268,11213.624232700893,0.0,38.825014712643686
261.0,7116.472063950131,11568.002127511161,0.0,36.69003478982165
262.0,6702.3671151569915,11922.38002232143,0.0,34.555054866999626
263.0,6288.262166363852,12276.757917131696,0.0,32.4200749441776
264.0,5874.157217570712,12631.135811941964,0.0,30.28509502135557
265.0,5460.052268777575,12985.513706752232,0.0,28.15011509853354
266.0,5045.947319984436,13339.8916015625,0.0,26.015135175711514
267.0,5689.98308724165,12758.867850167411,0.0,29.335557780369403
268.0,6334.018854498862,12177.84409877232,0.0,32.65598038502729
269.0,6978.054621756077,11596.820347377234,0.0,35.97640298968518
270.0,7622.09038901329,11015.796595982143,0.0,39.29682559434307
271.0,8266.126156270504,10434.772844587054,0.0,42.617248199000954
272.0,8910.161923527718,9853.749093191966,0.0,45.93767080365885
273.0,9554.197690784931,9272.725341796875,0.0,49.25809340831673
274.0,8550.159414955548,10277.074114118303,0.0,44.08162409326057
275.0,7546.121139126164,11281.422886439732,0.0,38.90515477820442
276.0,6542.0828632967805,12285.771658761161,0.0,33.72868546314826
277.0,5538.044587467399,13290.120431082589,0.0,28.552216148092104
278.0,4534.006311638014,14294.469203404018,0.0,23.375746833035947
279.0,3529.9680358086316,15298.817975725447,0.0,18.199277517979787
280.0,2525.929759979248,16303.166748046875,0.0,13.022808202923633
281.0,3591.4335861206055,15223.496791294641,0.0,18.51617234438489
282.0,4656.937412261963,14143.826834542411,0.0,24.009536485846148
283.0,5722.44123840332,13064.156877790178,0.0,29.50290062730741
284.0,6787.945064544677,11984.486921037947,0.0,34.99626476876867
285.0,7853.448890686035,10904.816964285714,0.0,40.489628910229925
286.0,8918.952716827393,9825.147007533482,0.0,45.98299305169119
287.0,9984.45654296875,8745.47705078125,0.0,51.476357193152445
288.0,8898.237801688058,9841.541399274553,0.0,45.876194212280225
289.0,7812.019060407366,10937.605747767855,0.0,40.276031231408005
290.0,6725.8003191266735,12033.670096261161,0.0,34.675868250535785
291.0,5639.581577845983,13129.734444754464,0.0,29.075705269663562
292.0,4553.36283656529,14225.79879324777,0.0,23.475542288791342
293.0,3467.1440952845987,15321.863141741072,0.0,17.87537930791912
294.0,2380.9253540039062,16417.927490234375,0.0,12.2752163270469
295.0,3438.348353794643,15334.73069545201,0.0,17.726918561137413
296.0,4495.77135358538,14251.533900669641,0.0,23.178620795227925
297.0,5553.194353376116,13168.337105887276,0.0,28.63032302931844
