day,S,I,A,W,Q,V,C,E,R,P,R_t
871.0,1225.4183872767858,0.015687931861196245,0.018698717866625105,0.0006114608841016889,1.7943426168390685e-05,1567.2692347935267,0.0,0.009172627968447549,5.425482954297747,0.0,5.338262044772252
872.0,1221.5803920200892,0.011765948895897185,0.014814068164144243,0.0008152811788022518,1.3457569626293014e-05,1577.2733677455358,0.0,0.006879470976335662,5.428122792925153,0.0,5.309858157837676
873.0,1217.742396763393,0.007843965930598124,0.010929418461663381,0.0010191014735028148,8.971713084195342e-06,1587.2775006975446,0.0,0.004586313984223775,5.43076263155256,0.0,5.281454270903099
874.0,1213.9044015066963,0.00392198296529906,0.007044768759182522,0.0012229217682033777,4.4858565420976746e-06,1597.2816336495537,0.0,0.0022931569921118868,5.433402470179966,0.0,5.253050383968522
875.0,1210.06640625,0.0,0.00316011905670166,0.0014267420629039407,0.0,1607.2857666015625,0.0,0.0,5.436042308807373,0.0,5.2246464970339455
876.0,1199.9266008649554,0.003922804923994201,0.01041969976254872,0.0012229217682033777,5.221925260099981e-05,1609.7223249162946,0.0,0.0016901646075504167,5.46222938810076,0.0,5.194478364531477
877.0,1189.7867954799108,0.007845609847988402,0.01767928046839578,0.0010191014735028148,0.00010443850520199962,1612.1588832310267,0.0,0.0033803292151008335,5.488416467394147,0.0,5.16431023202901
878.0,1179.6469900948662,0.011768414771982602,0.024938861174242835,0.0008152811788022518,0.00015665775780299943,1614.5954415457588,0.0,0.00507049382265125,5.5146035466875345,0.0,5.134142099526541
879.0,1169.5071847098213,0.015691219695976803,0.0321984418800899,0.0006114608841016889,0.00020887701040399925,1617.0319998604912,0.0,0.006760658430201667,5.5407906259809225,0.0,5.103973967024074
880.0,1159.3673793247767,0.019614024619971006,0.039458022585936954,0.0004076405894011259,0.00026109626300499907,1619.4685581752233,0.0,0.008450823037752084,5.56697770527431,0.0,5.073805834521606
881.0,1149.227573939732,0.023536829543965205,0.04671760329178401,0.00020382029470056295,0.00031331551560599886,1621.9051164899554,0.0,0.0101409876453025,5.593164784567697,0.0,5.043637702019138
882.0,1139.0877685546875,0.027459634467959404,0.05397718399763107,0.0,0.0003655347682069987,1624.3416748046875,0.0,0.011831152252852917,5.619351863861084,0.0,5.01346956951667
883.0,1144.9182303292412,0.0235368295439652,0.04626615771225521,0.0021101640803473337,0.0003133155156059989,1615.2249755859375,0.0,0.011910221672483854,5.557689530508859,0.0,5.045485394731121
884.0,1150.7486921037946,0.019614024619971002,0.03855513142687934,0.004220328160694667,0.00026109626300499907,1606.1082763671875,0.0,0.011989291092114789,5.496027197156634,0.0,5.077501219945573
885.0,1156.5791538783483,0.015691219695976803,0.030844105141503472,0.006330492241042001,0.00020887701040399928,1596.9915771484375,0.0,0.012068360511745726,5.434364863804409,0.0,5.109517045160024
