week,S,I,P,D,E,R,Q,W,H,A,R_t
42.0,18.106726,1.9669789,0.0,0.0,1.266716,1990.3191,0.71144736,0.15583065,498.73608,0.025566703,0.12936530532486243
43.0,21.166487,0.4365228,0.0,0.0,0.2562766,1985.2039,0.6449272,0.05619784,499.58234,0.022016618,0.15122607233519847
44.0,24.217491,0.0,0.0,0.0,2.9916182,1990.0802,0.5959799,0.2569299,499.26257,0.022896627,0.17302428689822186
45.0,28.509754,1.4888114,0.0,0.0,0.6893898,1981.5638,0.5623703,0.08451022,500.56927,0.02107085,0.20369077324121757
46.0,25.818588,0.9732857,0.0,0.0,1.8921428,1983.9878,0.49349058,0.13130553,500.71594,0.020655219,0.1844634605152534
47.0,27.91224,0.28381902,0.0,0.0,0.2379584,1984.0848,0.46624473,0.00069052214,500.59174,0.013435863,0.1994217671588375
48.0,23.57366,1.0829847,0.0,0.0,1.1258236,1983.2238,0.416761,0.11096169,499.7816,0.017075008,0.16842436027939434
49.0,30.053638,1.7792032,0.0,0.0,0.28440028,1982.2435,0.40478012,0.09571692,498.281,0.015202839,0.2147212011430822
50.0,29.472488,1.3304965,0.0,0.0,0.6527306,1980.6123,0.37029988,0.24537714,497.56757,0.0074547175,0.21056911679654447
51.0,29.343899,1.7232574,0.0,0.0,0.075432375,1978.1196,0.32698405,0.23940775,498.9684,0.017852249,0.20965041243352134
52.0,29.42838,1.5610497,0.0,0.0,0.91511554,1982.7137,0.2687587,0.0,497.48328,0.010353364,0.21025397660626308
53.0,33.178432,0.5076136,0.0,0.0,0.09182688,1980.0149,0.25057995,0.39919952,499.10886,0.010403374,0.23704661281501943
54.0,28.351055,1.538394,0.0,0.0,1.3818709,1990.7797,0.23794174,0.034073506,498.90915,0.013091097,0.20255692879607365
55.0,27.725143,1.1212788,0.0,0.0,0.0,1985.4248,0.22371483,0.11018467,499.19153,0.005192559,0.19808503352207849
56.0,33.69915,2.914164,0.0,0.0,0.52258873,1974.7521,0.18596482,0.021289214,498.42285,0.007871648,0.24076693503475652
57.0,29.647598,1.8503251,0.0,0.0,1.9061637,1984.6588,0.18124819,0.17070147,499.12857,0.0028941464,0.21182021003133417
58.0,37.762478,0.16012514,0.0,0.0,0.29841232,1983.7815,0.17949806,0.0,499.48785,0.0038124972,0.2697977775958616
59.0,39.982414,3.0587482,0.0,0.0,0.3923896,1986.444,0.13138483,0.03602526,497.9839,0.0041055926,0.2856583337078269
60.0,32.756866,1.8365691,0.0,0.0,0.016027542,1983.7874,0.13255005,0.097680375,498.30457,0.010179292,0.2340347027675033
61.0,41.48233,0.73728776,0.0,0.0,0.6475889,1976.0605,0.12948969,0.00044868383,499.06924,0.0038502607,0.29637463324212715
62.0,42.996956,1.6273203,0.0,0.0,0.0,1979.7236,0.10245936,0.18207683,496.84967,0.0025442657,0.30719601925264145
63.0,43.649086,0.8921986,0.0,0.0,0.05986626,1974.3672,0.115491554,0.15408131,497.1643,0.002660318,0.3118552414079573
64.0,39.65625,0.20105672,0.0,0.0,0.20180878,1980.5798,0.12623185,0.0,497.46198,0.008046917,0.28332802082720915
65.0,46.937645,0.129924,0.0,0.0,0.40499198,1982.1176,0.09618915,0.07295622,496.38647,0.0047918097,0.33535066422514265
66.0,45.28504,0.5063678,0.0,0.0,0.19558145,1975.1571,0.06344181,0.13076468,498.20712,0.0065079853,0.32354346309186277
67.0,45.04948,0.8411902,0.0,0.0,0.65227437,1973.944,0.07471561,0.10638311,498.24377,0.003040115,0.32186050552595913
68.0,41.634266,1.0381979,0.0,0.0,0.5576128,1972.1025,0.07965023,0.071079984,497.58203,0.0040776306,0.2974601520805415
69.0,39.486526,1.385594,0.0,0.0,1.8536309,1978.0983,0.076953046,0.12252813,497.21277,0.004109769,0.28211542795770794
70.0,46.976536,0.9425936,0.0,0.0,0.016593229,1974.469,0.077014334,0.11786273,495.7618,0.00060087355,0.33562853050190883
71.0,48.54508,1.6992745,0.0,0.0,1.122061,1977.7953,0.045209713,0.21758127,498.53433,0.0066517317,0.346835117760328
72.0,49.884583,0.85542953,0.0,0.0,0.5107127,1981.1599,0.054781225,0.08009311,496.132,0.00022692703,0.3564053662475162
73.0,46.739822,0.0,0.0,0.0,1.0645316,1967.8538,0.031736333,0.041422166,495.74908,0.0056949575,0.33393730120014714
74.0,51.437088,0.85605025,0.0,0.0,0.16081718,1977.9819,0.050078265,0.09463256,496.02985,0.0005624931,0.36749740291019095
75.0,46.197693,1.592288,0.0,0.0,0.46402428,1973.9414,0.038201235,0.04364662,495.1881,0.0030034303,0.33006402341006846
76.0,50.012775,0.50614655,0.0,0.0,1.3199935,1977.8405,0.033893816,0.008190139,494.85992,0.00012974426,0.35732123273740574
77.0,50.3871,0.8960487,0.0,0.0,0.4634635,1974.4857,0.0369465,0.18412462,494.76624,0.0,0.35999562666337315
78.0,49.850502,0.70742214,0.0,0.0,0.34573105,1969.4788,0.022075403,0.23450664,498.42773,0.00529926,0.3561618815021622
79.0,51.52157,0.4312244,0.0,0.0,0.006096574,1970.5261,0.027902916,0.24381843,496.37177,0.0016160167,0.3681009602693114
80.0,54.558414,1.1308436,0.0,0.0,1.0666287,1979.7208,0.024889983,0.000481446,495.4449,0.0030401899,0.3897980164086069
81.0,49.365944,0.4177678,0.0,0.0,0.90626013,1969.5021,0.029197747,0.32971716,494.65723,0.0012149644,0.3526998738738183
82.0,56.355995,0.6522751,0.0,0.0,0.0,1965.4885,0.025917985,0.01866399,495.34854,0.003659947,0.40264101057446383
83.0,51.50747,2.44164,0.0,0.0,1.5071441,1975.6691,0.021664098,0.15849908,495.1058,0.0050743553,0.36800022769689383
84.0,55.151886,0.36579913,0.0,0.0,0.20562825,1972.463,0.01215548,0.15178812,495.7281,0.004258967,0.394038132738074
85.0,55.269806,0.0,0.0,0.0,0.85048586,1968.9116,0.037883587,0.0,495.55188,0.006101777,0.3948806505982237
86.0,56.673992,0.0,0.0,0.0,0.7538716,1971.4736,0.023333432,0.03199678,497.2559,0.0043007224,0.40491298523233854
87.0,64.38188,1.0156151,0.0,0.0,1.4056025,1975.1185,0.03318275,0.13821478,495.6914,0.0044482844,0.45998279575949513
88.0,55.653202,0.95580983,0.0,0.0,0.5513658,1969.0668,0.041180197,0.023061631,496.99335,0.0017022335,0.39761983524599337
89.0,62.220142,0.5458587,0.0,0.0,0.20856957,1969.8168,0.0043821675,0.0,494.93262,0.0002685309,0.4445379931718592
90.0,60.09963,0.38186517,0.0,0.0,1.9497975,1968.3102,0.023053497,0.12319386,496.0436,0.0032340728,0.4293877774868505
91.0,61.38498,2.019257,0.0,0.0,0.2135408,1972.7966,0.009375167,0.011544079,494.86584,0.0019596622,0.43857107362554665
92.0,58.28811,2.3638613,0.0,0.0,0.063515335,1965.8298,0.010950012,0.0637154,494.2954,0.00043182063,0.41644516136879445
93.0,64.78846,0.67438424,0.0,0.0,0.90200794,1965.9089,0.014501357,0.114121355,494.9166,0.007593588,0.4628875786513129
94.0,67.59268,0.0,0.0,0.0,0.13681039,1972.1821,0.013538826,0.16029674,495.88034,0.0013792443,0.4829226359228065
95.0,66.89442,0.9297098,0.0,0.0,2.0038424,1967.3922,0.00019946163,0.0,494.30154,0.0,0.47793381166670246
96.0,67.136475,0.89617896,0.0,0.0,1.3882776,1964.3835,0.0036577154,0.23720577,496.00873,0.0022787536,0.4796631768050305
97.0,65.25727,1.0288739,0.0,0.0,0.30496842,1970.3169,0.008915065,0.06388939,493.49298,0.0029130473,0.46623707295658373
98.0,65.61763,1.0215583,0.0,0.0,0.94276166,1963.0164,0.012476916,0.14380367,494.2958,0.001974193,0.46881168140344953
99.0,65.065384,0.053568013,0.0,0.0,0.4031636,1962.1951,0.012241378,0.24203268,493.38873,0.0007403436,0.4648661315357455
100.0,66.55485,1.1398662,0.0,0.0,0.6627077,1966.7466,0.0111731505,0.13486762,492.89798,0.00049391924,0.4755077401569753
101.0,69.16096,0.6049563,0.0,0.0,0.2529426,1964.0259,0.011585071,0.26439893,495.02518,0.0031923037,0.49412736306270033
102.0,70.92949,1.0997208,0.0,0.0,0.35140097,1964.6155,0.0017232554,0.21377796,495.1276,0.0,0.5067628007065776
103.0,67.99245,0.21669084,0.0,0.0,0.63990396,1962.4923,0.014264204,0.07327112,494.8362,0.003013813,0.48577883769711
104.0,69.049034,0.32304946,0.0,0.0,0.29039833,1962.9985,0.015782664,0.21761343,494.4861,0.0057034567,0.4933276892512083
105.0,75.19505,1.4613434,0.0,0.0,0.3643284,1964.1176,0.020257158,0.19565253,493.34366,0.003353888,0.5372385601713873
106.0,73.48683,0.6516271,0.0,0.0,0.4291817,1965.8494,0.0023434493,0.33711618,493.84326,0.00016877908,0.5250339886631527
107.0,73.54984,0.0,0.0,0.0,1.5136573,1959.8958,0.0037544551,0.20241183,494.65338,0.0038420467,0.5254841509733803
108.0,72.537384,0.81953377,0.0,0.0,0.3423245,1961.6584,0.0005006794,0.24660996,493.19968,0.0012698377,0.5182505520343114
109.0,73.38673,1.7804837,0.0,0.0,0.98708546,1963.0103,0.010835055,0.21098119,492.195,0.0033620505,0.5243187492427158
110.0,68.76182,3.1243405,0.0,0.0,0.0,1959.4652,0.026592268,0.05152242,491.56067,0.0034477112,0.49127565827823544
111.0,80.205124,0.0,0.0,0.0,0.0,1964.4412,0.00020244389,0.018083127,495.00674,0.0036532239,0.5730334546096744
112.0,72.40802,0.5204561,0.0,0.0,1.2341219,1967.5809,0.020126808,0.017855115,492.9058,0.0026710227,0.5173262979770075
113.0,70.87796,1.4411563,0.0,0.0,0.66307503,1961.543,0.0,0.0,493.4496,0.006781158,0.5063946062566127
114.0,73.74066,1.9095113,0.0,0.0,1.4529506,1952.2991,0.026853394,0.06371091,493.4592,0.0029125814,0.5268475292749392
115.0,82.078896,0.0,0.0,0.0,0.76014644,1958.8011,0.0053600892,0.029741298,493.28125,0.0043177023,0.5864208162092854
116.0,78.93814,0.3685871,0.0,0.0,0.65013623,1957.6036,0.006697326,0.10872329,491.6604,0.004797774,0.5639813956244748
117.0,75.22649,2.232764,0.0,0.0,0.2935678,1961.3999,0.0059732986,0.2788729,493.29333,0.002434811,0.5374630962368224
118.0,84.62904,4.6027303,0.0,0.0,0.0,1964.1707,0.00981292,0.19497839,493.65594,0.00054935354,0.6046406294637489
119.0,80.108955,1.0748558,0.0,0.0,0.29180822,1954.9347,0.007958775,0.04075161,492.742,0.00036019154,0.5723464099528099
120.0,78.46936,1.8234532,0.0,0.0,0.73997086,1959.5181,0.0017123158,0.1482793,492.2352,0.00466705,0.5606321602367993
