week,S,I,A,W,Q,V,C,E,R,P,R_t
165.0,904.8014,4.305287e-05,0.0101702325,0.0059220907,0.00014639244,1859.0525,0.0,0.0,3.8281913,0.0,3.9843907412304627
166.0,949.8272,0.0,0.004399829,0.0,0.0,1832.1604,0.0,0.043322794,3.5470223,0.0,4.155804341920455
167.0,856.04193,0.0,0.0,0.006811479,0.00010864378,1857.52,0.0,0.0,3.7987328,0.0,3.8394960218117995
168.0,924.7179,0.0,0.032734938,0.0015735367,3.2915475e-05,1850.7764,0.0,0.016624743,3.6984901,0.0,4.055172789621216
169.0,840.665,0.0,0.0,0.0007057066,6.0742565e-05,1875.0366,0.0,0.0,4.081102,0.0,3.7671700699787074
170.0,836.2768,0.0,0.0,0.0,0.0,1872.8765,0.0,0.015140439,3.5926666,0.0,3.7572058576536933
171.0,890.34534,0.0,0.0,7.375548e-05,0.0,1895.972,0.0,0.0,3.685961,0.0,3.8893788962448044
172.0,850.1137,0.05466489,0.010210119,0.0,7.25545e-05,1860.2131,0.0,0.035673276,3.4942122,0.0,3.817738682362822
173.0,918.45386,0.0,0.0,0.004060999,0.0,1891.603,0.0,0.0,3.5404007,0.0,3.9785231996651027
174.0,927.9919,0.010611341,0.0,0.0,0.0,1902.7036,0.0,0.08538145,3.5880775,0.0,3.990365321514134
175.0,835.6401,0.0019674464,0.031745285,0.0007831857,0.0,1897.2056,0.0,0.0022360834,3.3486722,0.0,3.7221434484899922
176.0,838.9958,0.019586239,0.007138106,0.0,1.5779075e-05,1938.0508,0.0,0.0,3.6607578,0.0,3.677280950234278
177.0,816.4429,0.0,0.014231089,0.0,4.2622993e-05,1990.6321,0.0,0.0033281716,3.4378338,0.0,3.540495158304821
178.0,780.5661,0.007049902,0.0,0.0,0.0,1968.7233,0.0,0.025987368,3.609021,0.0,3.455737786263984
179.0,845.1385,0.00704375,0.0,0.0015342508,0.0,1928.9729,0.0,0.005256385,3.3808444,0.0,3.7085111808927853
180.0,836.1411,0.0,0.0,0.0050179986,0.0002239721,1937.7606,0.0,0.022957917,3.3147628,0.0,3.669380136675344
181.0,823.6496,0.01956913,0.027756939,0.0,0.0,1940.1078,0.0,0.0,3.326423,0.0,3.627765766230017
182.0,802.0705,0.0020301112,0.0,0.0,0.00038025688,1969.8387,0.0,0.052304048,3.314092,0.0,3.522350175845309
183.0,784.8595,0.011525249,0.0056652357,0.007163479,0.00014133843,1930.2612,0.0,0.0,3.4314382,0.0,3.5186653689278184
184.0,807.0171,0.0,0.039544962,0.0,3.9650433e-05,1941.4425,0.0,0.039319105,3.2965844,0.0,3.5742655663339242
185.0,790.10956,0.043242037,0.0024038197,0.008390706,0.0,1984.7886,0.0,0.0,3.2335813,0.0,3.466201744636238
186.0,799.46814,0.0,0.0,0.002095109,0.00012741628,2002.718,0.0,0.025899023,3.3270087,0.0,3.47305219051869
187.0,785.68805,0.017038595,0.0268359,0.0022699358,0.0,1993.6764,0.0,0.019648846,3.3595326,0.0,3.4410944462035946
188.0,759.1439,0.012147756,0.0,0.0,0.00015484128,1960.3137,0.0,0.009719789,3.3341413,0.0,3.3980726786523876
189.0,787.7978,0.0,0.027153773,0.008137668,2.1319247e-05,1926.108,0.0,0.0,3.3323905,0.0,3.5335333142618617
190.0,810.06244,0.029815769,0.020129666,0.0001280096,5.827779e-05,1978.5157,0.0,0.0110092135,3.0125084,0.0,3.536582146230129
191.0,701.13336,0.036287088,0.043853194,0.0011637098,0.00031092716,1974.6959,0.0,0.0,3.0570328,0.0,3.189773126010532
192.0,710.7312,0.0,0.0,0.00046718755,0.0005438431,1995.1157,0.0,0.0,2.9191906,0.0,3.197866098675985
193.0,752.3061,0.0,0.005037152,0.0,0.0,2006.3219,0.0,0.0,2.8637013,0.0,3.320293947730663
194.0,743.6263,0.0,0.0,0.0,0.0,1989.8365,0.0,0.018967282,3.1000037,0.0,3.311866214530134
195.0,751.23975,0.0,0.0,0.0,0.0,2050.1494,0.0,0.0,3.0305183,0.0,3.2648410328327335
196.0,702.3815,0.0,0.0129586905,0.0,0.00015834032,2062.49,0.0,0.0032675578,2.9550388,0.0,3.092844607031885
197.0,707.34045,0.0,0.015069774,0.006344101,0.0,2034.6699,0.0,0.047392007,2.7181056,0.0,3.1408392789993202
198.0,730.7867,0.0,0.0,0.00045710555,0.0,2018.5719,0.0,0.029251533,3.024451,0.0,3.235963582391762
199.0,709.8947,0.0,0.0,0.0,0.0,2026.6053,0.0,0.0,2.8900719,0.0,3.158395732118744
200.0,707.2158,0.014424172,0.037234895,0.0020152787,3.5500314e-05,2078.671,0.0,0.0,3.045647,0.0,3.0905261577296903
201.0,768.5623,0.0,0.0,0.0,0.0,2013.6713,0.0,0.0,2.6913662,0.0,3.3635050180332877
202.0,721.74365,0.021165846,0.0,0.0,0.0,2048.2334,0.0,0.0,2.7592444,0.0,3.1724704029383357
203.0,687.4367,0.0029581627,0.0,0.0,0.00016538825,2026.5027,0.0,0.013050633,2.84185,0.0,3.083911818075664
204.0,701.60736,0.0,0.0,0.0,0.0,2060.809,0.0,0.0,2.749897,0.0,3.0924263404430063
205.0,721.70325,0.022930063,0.0,0.0015954948,0.0,2040.9192,0.0,0.06904025,2.8626103,0.0,3.1805292249792765
206.0,671.653,0.03125764,0.030340906,0.0,0.0,2056.705,0.0,0.043843154,2.7360728,0.0,2.9972158182859445
207.0,765.2268,0.038194247,0.071395725,0.0072504645,0.00019880466,2043.9446,0.0,0.0,2.8068326,0.0,3.316559214542564
208.0,717.34845,0.0,0.023532152,0.0,0.0,2054.7717,0.0,0.112920105,2.7082522,0.0,3.1506427484468915
209.0,684.2494,0.0,0.0,0.008032562,0.00014146893,2025.6766,0.0,0.0,2.8415194,0.0,3.074172999180108
210.0,649.045,0.057317927,0.0,0.0,0.00018187979,2106.2732,0.0,0.015008366,2.7558355,0.0,2.8680317352864604
211.0,646.54913,0.012775164,0.0,0.0,0.0002697829,2090.3193,0.0,0.0,2.4931378,0.0,2.8765808817864396
212.0,682.8263,0.029228799,0.0,0.005214647,0.0008719974,2070.72,0.0,0.068645075,2.9523761,0.0,3.019001890444861
213.0,663.73956,0.04087186,0.0,0.002608485,0.0003836357,2074.4011,0.0,0.014345216,2.5697653,0.0,2.9515641545596107
214.0,677.89594,0.0,0.023627717,0.010311752,0.0,2120.4028,0.0,0.0,2.6412704,0.0,2.9497284931683088
215.0,655.9896,0.0,0.03534833,0.00254665,2.8677066e-06,2125.0059,0.0,0.0,2.3202612,0.0,2.8724697673836044
216.0,646.5642,0.0,0.0,0.0,0.0,2102.4702,0.0,0.007190352,2.496838,0.0,2.863931080250206
217.0,611.63086,0.037925206,0.0,0.0,0.00015582381,2106.3223,0.0,0.08785703,2.471934,0.0,2.740053273996982
