week,S,I,D,C,A,W,P,V,R_t
142.0,2273.0183,0.07993904,4.4583387,0.0,4.1960444,0.20933808,0.0,1908.2424,5.14857364862771
143.0,2279.4075,0.10163379,4.469324,0.0,4.1960444,0.20869568,0.0,1868.228,5.2048325808268485
144.0,2222.9163,0.08016895,4.481113,0.0,4.1960444,0.20867847,0.0,1954.2496,5.0400189177754795
145.0,2205.0127,0.07288798,4.496009,0.0,4.1960444,0.2079649,0.0,1931.6501,5.048335058766681
146.0,2213.1614,0.112936586,4.462417,0.0,4.1960444,0.20951606,0.0,1943.9456,5.042049570145633
147.0,2172.4744,0.101722635,4.492046,0.0,4.1960444,0.21004264,0.0,2003.7495,4.926736515230016
148.0,2159.8145,0.08796556,4.5028625,0.0,4.1960444,0.21189758,0.0,2018.1329,4.8960239910112096
149.0,2208.6523,0.107799806,4.5721955,0.0,4.1960444,0.20968008,0.0,1982.8625,4.9905199349096225
150.0,2199.7534,0.12317763,4.501857,0.0,4.1960444,0.21118113,0.0,1957.4888,5.011328194277809
151.0,2188.6655,0.052357778,4.543137,0.0,4.1960444,0.21011119,0.0,1965.7681,4.989520802678937
152.0,2205.769,0.042005755,4.4722533,0.0,4.1960444,0.20905992,0.0,2044.7675,4.914944711720891
153.0,2194.0024,0.08425802,4.476167,0.0,4.1960444,0.209177,0.0,2029.5511,4.919878106503636
154.0,2143.4172,0.08680703,4.5064416,0.0,4.1960444,0.20965926,0.0,2045.3809,4.846281362511677
155.0,2129.2112,0.10247309,4.480864,0.0,4.1960444,0.20700483,0.0,2053.5933,4.821034619978296
156.0,2128.4578,0.06670445,4.5217924,0.0,4.1960444,0.20806754,0.0,2056.2258,4.817207917675774
157.0,2136.0981,0.12235545,4.5253406,0.0,4.1960444,0.21052216,0.0,2037.748,4.846975347379359
158.0,2113.8237,0.1147762,4.510145,0.0,4.1960444,0.20820846,0.0,2082.0955,4.7712354417638645
159.0,2117.1133,0.08206185,4.48347,0.0,4.1960444,0.20792446,0.0,2091.2415,4.764591148700894
160.0,2110.1306,0.057940822,4.5281887,0.0,4.1960444,0.20822637,0.0,2096.6477,4.750681529339174
161.0,2068.0605,0.10959501,4.515208,0.0,4.1960444,0.20916905,0.0,2096.8877,4.7026218782739475
162.0,2100.363,0.07225531,4.5075974,0.0,4.1960444,0.20804554,0.0,2095.658,4.740785606165843
163.0,2120.0117,0.061895244,4.49746,0.0,4.1960444,0.20860645,0.0,2108.7808,4.748101261225609
164.0,2096.0383,0.054197602,4.565428,0.0,4.1960444,0.20736136,0.0,2148.375,4.677157874247312
165.0,2049.2554,0.044064544,4.5449376,0.0,4.1960444,0.20675844,0.0,2154.0764,4.617423284891453
166.0,2060.4927,0.11316389,4.521198,0.0,4.1960444,0.2085982,0.0,2134.222,4.652194787541354
167.0,2070.3577,0.0630161,4.484209,0.0,4.1960444,0.20976011,0.0,2154.939,4.640724460451421
168.0,2028.3206,0.08692709,4.5399365,0.0,4.1960444,0.2095095,0.0,2160.6118,4.585899976627561
169.0,2018.1549,0.06034911,4.5390983,0.0,4.1960444,0.20682491,0.0,2166.315,4.567806234537545
170.0,2059.416,0.10642888,4.6087155,0.0,4.1960444,0.20941609,0.0,2190.832,4.589079201407511
171.0,2012.8701,0.08189724,4.520894,0.0,4.1960444,0.20878062,0.0,2179.9106,4.546800102025356
172.0,2053.474,0.097859494,4.5187297,0.0,4.1960444,0.20881437,0.0,2182.8662,4.590854948111744
173.0,1981.2866,0.07532209,4.487838,0.0,4.1960444,0.20780848,0.0,2204.6184,4.482808153182502
174.0,1963.6838,0.059316996,4.557064,0.0,4.1960444,0.20513888,0.0,2211.2744,4.454635236237743
175.0,1975.2634,0.09894192,4.547424,0.0,4.1960444,0.20632148,0.0,2225.346,4.453526620927482
176.0,1920.3429,0.07069248,4.547871,0.0,4.1960444,0.20766997,0.0,2186.953,4.42799414086607
177.0,1951.4242,0.024600381,4.5657897,0.0,4.1960444,0.20801319,0.0,2195.399,4.456865471083872
178.0,1958.5403,0.08310236,4.5774865,0.0,4.1960444,0.20612827,0.0,2228.9624,4.4296456865849185
179.0,1964.6735,0.045200896,4.5760417,0.0,4.1960444,0.20738378,0.0,2228.4534,4.437603302354546
180.0,1925.7634,0.04524756,4.5884075,0.0,4.1960444,0.20774707,0.0,2254.9543,4.362614843197585
181.0,1893.5417,0.061706662,4.543081,0.0,4.1960444,0.20925103,0.0,2271.8447,4.305375514296466
182.0,1938.0333,0.032530338,4.580945,0.0,4.1960444,0.20780595,0.0,2290.5244,4.340802720471075
183.0,1953.3798,0.056459453,4.552396,0.0,4.1960444,0.20700808,0.0,2290.906,4.35895415318327
184.0,1883.9313,0.06627959,4.5418835,0.0,4.1960444,0.20749608,0.0,2311.0881,4.253291960847239
185.0,1925.4763,0.062137272,4.4717083,0.0,4.1960444,0.20762122,0.0,2303.7239,4.311992925495854
186.0,1846.1251,0.041349884,4.579994,0.0,4.1960444,0.20957157,0.0,2285.9822,4.231355962199044
187.0,1894.9786,0.05029971,4.6094804,0.0,4.1960444,0.20656349,0.0,2290.496,4.28799587931876
188.0,1883.719,0.09976063,4.573587,0.0,4.1960444,0.20721532,0.0,2305.2417,4.258923512701002
189.0,1807.7001,0.09836102,4.597693,0.0,4.1960444,0.2047758,0.0,2327.5566,4.140075658991553
190.0,1830.9447,0.030527014,4.542464,0.0,4.1960444,0.21002884,0.0,2347.443,4.150138143944024
191.0,1824.7899,0.047252923,4.5535593,0.0,4.1960444,0.20813163,0.0,2349.702,4.140027079803959
192.0,1828.4429,0.103921235,4.650033,0.0,4.1960444,0.20878242,0.0,2311.5918,4.182748312107659
193.0,1835.2638,0.08000869,4.577743,0.0,4.1960444,0.20717601,0.0,2336.867,4.166111183126685
194.0,1797.496,0.047653798,4.5413246,0.0,4.1960444,0.2061458,0.0,2354.3806,4.100293736301454
195.0,1830.2804,0.033775844,4.6060295,0.0,4.1960444,0.20835446,0.0,2364.0486,4.132877572571937
196.0,1774.9766,0.0,4.567258,0.0,4.1960444,0.20773248,0.0,2345.8252,4.079472910898673
197.0,1790.5706,0.04818259,4.561457,0.0,4.1960444,0.20519821,0.0,2352.171,4.093493029746382
198.0,1828.3749,0.028672513,4.5880756,0.0,4.1960444,0.20650409,0.0,2386.4856,4.108488758976969
199.0,1794.1439,0.0547764,4.6274824,0.0,4.1960444,0.20550463,0.0,2385.074,4.065892617418589
200.0,1786.3206,0.08709136,4.595327,0.0,4.1960444,0.2066481,0.0,2446.1077,3.9972901299158616
201.0,1769.6897,0.05193438,4.596284,0.0,4.1960444,0.20566013,0.0,2391.3594,4.027970636656945
202.0,1741.6188,0.06459211,4.6166315,0.0,4.1960444,0.209196,0.0,2450.4543,3.934759814708309
203.0,1723.2094,0.030477665,4.5817623,0.0,4.1960444,0.20536287,0.0,2415.6433,3.9432104959790237
204.0,1760.4564,0.035304286,4.5749187,0.0,4.1960444,0.20502214,0.0,2433.4546,3.9756053799472864
205.0,1795.0299,0.07054469,4.5662713,0.0,4.1960444,0.20717277,0.0,2452.258,4.002755704029807
206.0,1763.7755,0.009523959,4.5745683,0.0,4.1960444,0.20599082,0.0,2458.2615,3.9566172700089415
207.0,1661.5817,0.025891121,4.620815,0.0,4.1960444,0.20901233,0.0,2436.5017,3.8399791335795475
208.0,1736.3617,0.061198547,4.5837636,0.0,4.1960444,0.20791039,0.0,2480.8962,3.8994826611025486
209.0,1692.7268,0.042330574,4.5705233,0.0,4.1960444,0.20476905,0.0,2486.5918,3.8359800150620362
210.0,1699.0116,0.037642762,4.584185,0.0,4.1960444,0.20813659,0.0,2518.5671,3.8153339934823234
211.0,1671.7786,0.032548007,4.571512,0.0,4.1960444,0.2058343,0.0,2504.8875,3.790920568282681
212.0,1723.7195,0.053864308,4.6451373,0.0,4.1960444,0.20529523,0.0,2484.1467,3.879729144468142
213.0,1640.2238,0.045066778,4.6116314,0.0,4.1960444,0.20481263,0.0,2520.2769,3.733792474512634
214.0,1692.6117,0.06995082,4.603429,0.0,4.1960444,0.20549935,0.0,2503.8987,3.8199961653195205
215.0,1690.0935,0.057982735,4.6550694,0.0,4.1960444,0.20632143,0.0,2556.3218,3.7695418200583326
216.0,1640.4955,0.058297094,4.59303,0.0,4.1960444,0.20848957,0.0,2573.0366,3.687445450995112
217.0,1647.224,0.0535489,4.6142817,0.0,4.1960444,0.20440531,0.0,2548.5786,3.718203237887036
218.0,1658.3605,0.07284541,4.590351,0.0,4.1960444,0.20701906,0.0,2552.5667,3.729892502411461
219.0,1664.0568,0.03346354,4.583624,0.0,4.1960444,0.20745422,0.0,2544.1821,3.7451277176384563
220.0,1606.7921,0.022074712,4.657684,0.0,4.1960444,0.20625956,0.0,2608.5623,3.6101595160996265
221.0,1627.8253,0.021261046,4.6562886,0.0,4.1960444,0.20690332,0.0,2555.4092,3.685472115514472
222.0,1580.7314,0.039572198,4.611067,0.0,4.1960444,0.2084306,0.0,2580.6965,3.5975683195535253
223.0,1573.8881,0.020955497,4.585017,0.0,4.1960444,0.20678076,0.0,2575.3975,3.592481289055125
224.0,1612.1676,0.0546888,4.623508,0.0,4.1960444,0.20518485,0.0,2538.912,3.678237568150867
225.0,1561.731,0.06447095,4.582896,0.0,4.1960444,0.2068622,0.0,2627.2932,3.5309130526978834
226.0,1590.89,0.049522396,4.611386,0.0,4.1960444,0.2067937,0.0,2589.1714,3.604555946315494
227.0,1572.3032,0.08413164,4.612126,0.0,4.1960444,0.20775355,0.0,2578.8936,3.587158601210117
228.0,1578.439,0.06434839,4.603355,0.0,4.1960444,0.20777689,0.0,2622.3447,3.558708309192254
229.0,1575.0874,0.05372099,4.614086,0.0,4.1960444,0.20560811,0.0,2654.782,3.52676672976577
230.0,1586.1073,0.031001562,4.6414914,0.0,4.1960444,0.20615998,0.0,2649.5872,3.54658113669152
231.0,1547.9951,0.06620672,4.6369433,0.0,4.1960444,0.2077734,0.0,2593.0415,3.5403719440560657
232.0,1524.2367,0.031390756,4.625604,0.0,4.1960444,0.20736279,0.0,2676.3447,3.4366974970903685
233.0,1513.873,0.07552179,4.64733,0.0,4.1960444,0.20608057,0.0,2621.309,3.4672214461724087
234.0,1534.2855,0.06640438,4.6500335,0.0,4.1960444,0.20567098,0.0,2653.0398,3.470266079469511
235.0,1497.274,0.013218415,4.643285,0.0,4.1960444,0.2062441,0.0,2647.7192,3.421147613952745
236.0,1505.6902,0.027787916,4.569568,0.0,4.1960444,0.2052506,0.0,2646.6843,3.434256363101882
