day,S,I,C,Q,E,R_t
177.0,1834.4237234933037,604.5976213727679,24.154125213623047,97.83599635532924,28.42409351893834,9.46784320927116
178.0,1833.210658482143,604.7625209263393,24.061256408691406,98.20677621023995,28.479876926967076,9.464191643777623
179.0,1831.997593470982,604.9274204799107,23.968387603759766,98.57755606515067,28.535660334995814,9.460540078284085
180.0,1830.7845284598213,605.0923200334821,23.875518798828125,98.94833592006138,28.591443743024552,9.456888512790547
181.0,1829.5714634486608,605.2572195870536,23.782649993896484,99.3191157749721,28.647227151053293,9.453236947297007
182.0,1828.3583984375,605.422119140625,23.689781188964844,99.68989562988281,28.70301055908203,9.44958538180347
183.0,1827.5202113560267,605.3607526506696,23.670379638671875,100.13085501534599,28.572306769234793,9.447474249967051
184.0,1826.6820242745537,605.2993861607143,23.650978088378906,100.57181440080915,28.441602979387557,9.445363118130633
185.0,1825.8438371930804,605.238019670759,23.631576538085938,101.01277378627232,28.31089918954032,9.443251986294214
186.0,1825.005650111607,605.1766531808036,23.61217498779297,101.4537331717355,28.18019539969308,9.441140854457794
187.0,1824.1674630301338,605.1152866908482,23.5927734375,101.89469255719867,28.04949160984584,9.439029722621376
188.0,1823.3292759486608,605.0539202008929,23.57337188720703,102.33565194266183,27.918787819998606,9.436918590784957
189.0,1822.4910888671875,604.9925537109375,23.553970336914062,102.776611328125,27.788084030151367,9.434807458948539
190.0,1823.0200020926338,605.2697666713169,24.121558598109655,102.91097586495536,27.78001458304269,9.432074707649887
191.0,1823.5489153180804,605.5469796316964,24.689146859305247,103.04534040178571,27.77194513593401,9.429341956351236
192.0,1824.0778285435267,605.8241925920759,25.256735120500835,103.17970493861607,27.763875688825333,9.426609205052584
193.0,1824.6067417689733,606.1014055524554,25.824323381696427,103.31406947544643,27.75580624171666,9.423876453753932
194.0,1825.1356549944196,606.3786185128348,26.39191164289202,103.44843401227679,27.74773679460798,9.42114370245528
195.0,1825.6645682198662,606.6558314732143,26.95949990408761,103.58279854910714,27.739667347499303,9.418410951156629
