day,S,I,P,D,E,R,Q,W,H,A,R_t
831.0,81.40041106087821,2.0828199556895663,0.0,0.0,0.2084344412599291,1957.573534284319,0.008488531091383525,0.08481640282220074,493.0031335013253,0.00041423782490060797,0.5815733298130782
832.0,80.75468417576381,1.5788378800664629,0.0,0.0,0.2501213295119149,1956.2540980747767,0.008223653238798891,0.06278400615389859,492.8725727626256,0.000387214681333197,0.5769598698829441
833.0,80.10895729064941,1.0748558044433594,0.0,0.0,0.29180821776390076,1954.9346618652344,0.007958775386214256,0.04075160948559642,492.7420120239258,0.00036019153776578605,0.5723464099528099
834.0,79.87472942897251,1.181798279285431,0.0,0.0,0.35583145810025074,1955.5894295828684,0.007066424021364323,0.05611270759254694,492.6696112496512,0.000975457061680832,0.5706729457076656
835.0,79.64050156729562,1.2887407541275024,0.0,0.0,0.41985469843660084,1956.2441973005023,0.006174072656514389,0.07147380569949746,492.5972104753767,0.001590722585595878,0.5689994814625212
836.0,79.40627370561872,1.395683228969574,0.0,0.0,0.4838779387729508,1956.898965018136,0.005281721291664455,0.08683490380644798,492.52480970110213,0.0022059881095109245,0.5673260172173769
837.0,79.17204584394182,1.5026257038116455,0.0,0.0,0.5479011791093009,1957.5537327357702,0.004389369926814522,0.1021960019133985,492.45240892682756,0.0028212536334259702,0.5656525529722324
838.0,78.93781798226493,1.609568178653717,0.0,0.0,0.6119244194456509,1958.208500453404,0.0034970185619645883,0.11755710002034903,492.380008152553,0.003436519157341016,0.563979088727088
839.0,78.70359012058803,1.7165106534957886,0.0,0.0,0.6759476597820009,1958.8632681710378,0.002604667197114655,0.13291819812729955,492.3076073782785,0.004051784681256063,0.5623056244819437
840.0,78.46936225891113,1.82345312833786,0.0,0.0,0.739970900118351,1959.5180358886719,0.0017123158322647214,0.14827929623425007,492.2352066040039,0.004667050205171108,0.5606321602367993
841.0,78.69380487714494,1.8758631944656372,0.0,0.0,0.634260771530015,1958.5658438546316,0.0038084034708195497,0.13159232639840673,492.19932556152344,0.004720155182959778,0.5622357128372963
842.0,78.91824749537876,1.9282732605934143,0.0,0.0,0.5285506429416793,1957.6136518205917,0.005904491109374378,0.11490535656256336,492.163444519043,0.004773260160748448,0.5638392654377934
843.0,79.14269011361259,1.9806833267211914,0.0,0.0,0.42284051435334347,1956.6614597865512,0.008000578747929206,0.09821838672671998,492.1275634765625,0.0048263651385371175,0.5654428180382904
844.0,79.3671327318464,2.0330933928489685,0.0,0.0,0.3171303857650075,1955.7092677525113,0.010096666386484036,0.08153141689087665,492.09168243408203,0.004879470116325787,0.5670463706387875
845.0,79.59157535008022,2.0855034589767456,0.0,0.0,0.2114202571766717,1954.7570757184708,0.012192754025038865,0.06484444705503328,492.0558013916015,0.0049325750941144565,0.5686499232392845
846.0,79.81601796831404,2.1379135251045227,0.0,0.0,0.10571012858833588,1953.804883684431,0.014288841663593692,0.04815747721918991,492.0199203491211,0.004985680071903127,0.5702534758397816
847.0,80.04046058654785,2.1903235912323,0.0,0.0,0.0,1952.8526916503906,0.01638492930214852,0.03147050738334656,491.9840393066406,0.005038785049691796,0.5718570284402786
848.0,80.20624760219029,1.924137145280838,0.0,0.0,0.13340157270431519,1952.9734453473773,0.014709413666943354,0.043162288410323005,492.09183284214566,0.004458562487603298,0.5730415102564067
849.0,80.37203461783272,1.6579506993293762,0.0,0.0,0.26680314540863037,1953.094199044364,0.013033898031738187,0.05485406943729946,492.1996263776507,0.0038783399255148004,0.5742259920725348
850.0,80.53782163347516,1.3917642533779144,0.0,0.0,0.40020471811294556,1953.2149527413503,0.011358382396533022,0.0665458504642759,492.3074199131557,0.0032981173634263022,0.5754104738886628
