week,S,I,R,H,W,P,A,Q,R_t
119.0,1343.8263,0.0003893961,1.1580119,0.0,8.7745255e-05,0.0,0.0,0.0,5.05961612991522
120.0,1343.8356,0.0,1.1555303,2.5371092e-08,5.5438333e-05,0.0,0.00024284328,0.0,5.059626046467239
121.0,1343.843,0.0,1.1388849,0.0,3.4185276e-05,0.0,0.0,9.663016e-06,5.059689565533452
122.0,1343.849,0.00046377224,1.1326021,1.2208141e-08,0.0,0.0,0.0,1.4884315e-05,5.0597114555463945
123.0,1343.869,0.0,1.1204704,0.0,0.0,0.0,0.0,1.5583744e-05,5.059758899291146
124.0,1343.8668,0.0,1.1130539,2.0633461e-08,0.0,0.0,0.0005717671,8.391435e-06,5.059784668920959
125.0,1343.8755,0.0003535823,1.1094537,0.0,2.217094e-05,0.0,0.0,0.0,5.059799092357064
126.0,1343.8848,0.0004404519,1.1034025,1.2529314e-08,0.0,0.0,0.0,0.0,5.059821558665049
127.0,1343.892,0.00055214,1.0897938,0.0,8.596341e-06,0.0,0.0008514102,0.0,5.059869153650324
128.0,1343.9113,0.00077362196,1.0850086,1.8612381e-08,0.0,0.0,0.0,0.0,5.059889584093599
129.0,1343.9093,0.0,1.0764655,0.0,2.85393e-05,0.0,0.0,1.17823165e-05,5.0599245839042695
130.0,1343.9211,0.00035320752,1.0661291,2.786634e-08,0.0,0.0,1.4919734e-05,0.0,5.059962165046206
131.0,1343.9249,0.00054948975,1.0639741,0.0,0.0,0.0,0.0,2.697479e-05,5.059969499753595
132.0,1343.9236,0.0002841125,1.0497754,0.0,0.00018768989,0.0,0.00023865986,0.0,5.0600231154362545
133.0,1343.9398,0.0004365994,1.0417869,3.1223353e-09,4.535018e-05,0.0,0.0,0.0,5.060053541106648
134.0,1343.9456,0.00013107929,1.038951,0.0,0.0,0.0,0.0021644456,3.4814917e-07,5.060057231966825
135.0,1343.9595,0.0,1.0311886,4.4445574e-08,5.707197e-05,0.0,0.00096832786,0.0,5.060091470199411
136.0,1343.9696,0.00064396707,1.0180724,0.0,0.0,0.0,0.0008716563,9.0366675e-06,5.060138752276896
137.0,1343.958,0.0008917707,1.0170176,1.188952e-08,0.0,0.0,0.0,3.520916e-06,5.060145055262966
138.0,1343.979,0.00016587616,1.0087397,0.0,0.00014640045,0.0,0.00052284996,0.0,5.060177035552713
139.0,1343.9896,0.0,0.9992142,2.4807054e-08,0.0,0.0,0.00036602016,1.19781835e-05,5.060214071894726
140.0,1343.9912,0.00073802925,0.99172884,3.146521e-08,0.0001397691,0.0,0.0009633749,0.0,5.060237259218753
141.0,1343.9976,0.0,0.9939191,4.885738e-09,0.0,0.0,0.0,1.591669e-05,5.060235377978961
142.0,1344.0093,0.00055882795,0.9800824,8.8206145e-09,6.865422e-05,0.0,0.0014762988,1.4993501e-05,5.060279814807428
143.0,1344.0101,0.0,0.975031,0.0,0.0,0.0,0.0,2.9032657e-05,5.060306426134701
144.0,1344.0138,0.0,0.9656898,1.1094225e-08,0.0,0.0,0.0,1.6463979e-05,5.06034162854925
145.0,1344.0172,0.00041140892,0.95279455,0.0,0.0,0.0,0.0,0.0,5.060388669122014
146.0,1344.0358,0.0004181681,0.94419795,1.471273e-08,0.0,0.0,0.00033807472,0.0,5.060419765222922
147.0,1344.0385,0.0,0.937953,9.484232e-09,3.1890515e-05,0.0,0.00010751864,3.6923907e-06,5.06044569565263
148.0,1344.0444,0.0,0.93047637,1.0056916e-08,0.0,0.0,0.0012250331,2.1458702e-05,5.060469570548399
149.0,1344.0531,0.0,0.9254872,2.642715e-08,9.854938e-05,0.0,0.0017918216,2.119567e-05,5.060486233143606
150.0,1344.0583,7.545953e-05,0.9186999,0.0,1.8634015e-06,0.0,0.0,0.0,5.060518321708393
151.0,1344.0692,0.0,0.9182087,0.0,0.0,0.0,0.0012387347,1.0740948e-05,5.060515780563286
152.0,1344.0767,0.0,0.9108541,6.2573697e-09,0.0,0.0,0.0,6.309681e-06,5.0605481488658715
153.0,1344.079,0.0,0.89890146,9.579853e-09,0.0,0.0,5.9487767e-05,3.5251305e-06,5.060592913831298
154.0,1344.0868,0.0,0.89989,0.0,0.0,0.0,0.0,9.052468e-06,5.0605894171047145
155.0,1344.1072,0.0,0.8922493,3.9445567e-09,0.0,0.0,0.0,0.0,5.060618250875667
156.0,1344.1033,0.0,0.8803553,0.0,0.0,0.0,0.00057836337,5.680349e-06,5.06066079576633
157.0,1344.1066,0.0,0.87713164,0.0,0.0,0.0,0.0,1.0726538e-05,5.060675090462375
158.0,1344.1128,0.0,0.872467,3.039352e-08,9.971352e-05,0.0,0.0021791332,0.0,5.060684498082303
159.0,1344.1228,0.0,0.8644353,4.290734e-09,0.0,0.0,7.000146e-05,0.0,5.060722678721314
160.0,1344.1282,9.410849e-05,0.8620088,1.1007624e-08,2.8370307e-05,0.0,0.00019546565,7.835969e-06,5.0607309661151145
161.0,1344.1318,0.0,0.843661,2.958667e-09,8.102305e-06,0.0,0.0014005989,1.5381398e-05,5.0607958032324545
162.0,1344.1447,0.0,0.8442164,5.439859e-09,0.0,0.0,0.0013590074,1.4565457e-05,5.060793903321957
163.0,1344.1409,0.0,0.8393445,6.286216e-09,4.7415975e-05,0.0,0.0012547924,2.749732e-05,5.060812569466861
164.0,1344.1553,0.001144786,0.8265706,1.6414894e-08,0.0,0.0,0.0,3.4439614e-05,5.060861056025199
165.0,1344.1554,9.2113514e-05,0.822293,1.8479829e-09,9.802687e-06,0.0,0.0,0.0,5.060881242567358
166.0,1344.1681,0.00012890442,0.8188099,3.4663813e-08,0.0,0.0,0.0010225932,0.0,5.060890391394998
167.0,1344.1633,0.0006586177,0.8108613,0.0,0.0,0.0,0.00077687873,9.9234185e-06,5.060919183850072
168.0,1344.1761,0.0,0.8091399,0.0,0.0,0.0,0.0009197402,9.901996e-06,5.060927630989429
169.0,1344.1895,0.0,0.8010856,0.0,0.00015824364,0.0,0.0009273625,0.0,5.06095797648306
170.0,1344.19,0.00019640746,0.7965983,1.6334226e-08,0.0,0.0,0.0,1.079442e-05,5.060977572222553
171.0,1344.199,0.00013192336,0.7909622,0.0,0.0,0.0,0.0,3.5028894e-05,5.060998951592139
172.0,1344.2001,6.24892e-05,0.7867391,0.0,0.0,0.0,0.00018415629,0.0,5.061014545118886
173.0,1344.2166,0.0,0.77905804,0.0,8.486641e-05,0.0,0.0,0.0,5.061044412221586
174.0,1344.2137,0.0,0.7769529,1.8335822e-08,0.0,0.0,0.0,0.0,5.061052327340831
175.0,1344.2178,0.0008396134,0.7692917,3.4998067e-08,9.819097e-05,0.0,0.0,8.082715e-06,5.061077974647839
176.0,1344.2192,0.00017219095,0.75930274,2.8665003e-08,0.0,0.0,0.0002713094,2.0753369e-05,5.061117008591709
177.0,1344.2246,0.0004431182,0.7595969,1.2346423e-08,0.0,0.0,0.0,1.0121126e-05,5.0611159546541895
178.0,1344.2361,0.0009839279,0.7457373,1.3641155e-08,0.000121521996,0.0,1.716536e-05,0.0,5.061166070512531
179.0,1344.241,0.00021539058,0.74580437,0.0,0.0,0.0,0.0,2.4584355e-05,5.061168692519757
180.0,1344.2416,0.000883545,0.73865086,0.0,0.0,0.0,0.0005686396,2.9052421e-06,5.061191039990563
181.0,1344.248,0.00019527528,0.7401813,9.97717e-09,0.0,0.0,0.0,0.0,5.061190034886658
182.0,1344.2513,0.0,0.7247929,2.1522453e-09,1.6607e-05,0.0,0.0,1.6790902e-05,5.061248620560986
183.0,1344.2573,0.0,0.72655463,5.6846368e-09,0.0,0.0,0.0,0.0,5.061242066365024
184.0,1344.2637,0.00035905922,0.7145977,3.6100808e-08,0.00012625295,0.0,0.0,0.0,5.061285722703743
185.0,1344.2694,0.0,0.71356106,6.4064447e-09,0.00010005425,0.0,0.0,1.29061045e-05,5.061290937881749
186.0,1344.2754,0.00046285108,0.7078143,3.5180137e-09,0.0,0.0,0.0015142653,2.1680911e-05,5.061305102384353
187.0,1344.2755,0.0,0.6990268,8.2503543e-10,0.00013541323,0.0,0.0,0.0,5.061345692628142
188.0,1344.2886,0.00062177324,0.70162976,8.203052e-09,0.0,0.0,0.00092497404,0.0,5.061330102468376
189.0,1344.2966,0.0011821173,0.6910908,0.0,0.0,0.0,0.0003369746,6.472576e-06,5.061369857148414
190.0,1344.3021,0.0001704854,0.69048876,0.0,0.00013095129,0.0,0.0,0.0,5.061377232773381
191.0,1344.2994,0.00031642767,0.6817425,0.0,0.0,0.0,0.00035843428,0.0,5.061408243102503
192.0,1344.3097,0.0005755734,0.6749065,0.0,2.3535555e-05,0.0,0.00010247629,5.6011286e-06,5.061433954635863
193.0,1344.3116,0.0,0.6718314,0.0,0.0,0.0,0.0,0.0,5.06144810310042
194.0,1344.3159,0.0,0.66780573,1.7689665e-08,2.4153987e-05,0.0,0.0001536022,0.0,5.061462682552596
195.0,1344.3253,0.0,0.6601979,0.0,8.909386e-05,0.0,0.0,6.524216e-06,5.061491883493852
196.0,1344.3234,0.0,0.6569096,0.0,0.0,0.0,0.0,2.1528036e-05,5.061504198211158
197.0,1344.3289,0.0,0.65924776,0.0,7.306361e-05,0.0,0.001273645,0.0,5.061490697234171
198.0,1344.3342,0.0007820154,0.6479195,1.7616335e-08,3.69611e-05,0.0,0.000393076,2.8012944e-05,5.0615336035591
199.0,1344.3385,0.00048451757,0.64043534,0.0,1.291429e-05,0.0,0.00012111137,0.0,5.0615640247570814
200.0,1344.3499,0.0,0.6336255,0.0,6.326942e-05,0.0,0.0,0.0,5.061591951660598
201.0,1344.3549,0.0014693405,0.6277695,0.0,2.3725157e-05,0.0,0.00037946663,2.1156602e-06,5.061607033020042
202.0,1344.3546,0.0,0.6321784,0.0,0.0,0.0,0.0007417048,0.0,5.061594614649572
203.0,1344.3593,0.00074337394,0.6226477,3.3900627e-09,0.0,0.0,4.4032524e-05,0.0,5.06163031798647
204.0,1344.37,0.00019155086,0.61468637,0.0,0.0,0.0,0.0,3.1310283e-05,5.061662422492014
205.0,1344.3695,0.0004773809,0.6195364,0.0,0.0,0.0,0.0018051302,8.865643e-06,5.061636384798403
206.0,1344.3728,0.0,0.6078869,6.165939e-09,5.705756e-05,0.0,0.0,5.4096768e-06,5.061688834546419
207.0,1344.3796,0.00062034465,0.60270166,5.3772164e-09,0.0,0.0,0.0,2.1118685e-05,5.0617059665463255
208.0,1344.3767,6.641501e-05,0.6024192,4.2507715e-08,5.866878e-05,0.0,0.0,0.0,5.061709188636582
