week,S,I,D,H,C,Q,E,R,R_t
199.0,9.157793,1.190473,1515.3495,9.154118,60.461414,0.0,0.7193848,2413.1338,0.019060803228026075
200.0,35.494846,10.770338,1540.9119,2.1770391,60.28832,0.0,5.3726974,2407.3896,0.07387809057152459
201.0,1.0081865,0.0,1528.6285,1.3153212,59.430214,0.0,0.42916477,2406.5698,0.0020984142415890945
202.0,2.299922,0.21756363,1517.7627,1.4089885,58.87957,0.0,2.064982,2418.3445,0.0047870008281735285
203.0,0.5734525,7.473192,1533.2999,3.2297602,58.874535,0.0,2.9932592,2399.8176,0.0011935696632636803
204.0,0.031606633,0.05959923,1520.5947,7.860217,58.46252,0.0,3.4469562,2391.7144,6.578526089255292e-05
205.0,7.238538,0.4156287,1533.637,0.5172909,58.804188,0.0,0.92686176,2398.0457,0.015066112971844058
206.0,3.6321287,6.754919,1533.2372,7.074586,58.900806,0.0,0.0,2412.8655,0.007559822443351501
207.0,1.2500094,0.059189256,1527.9788,0.38699973,58.002853,0.0,1.0972089,2419.9841,0.002601738536607195
208.0,10.476175,1.7774968,1516.4631,0.0,57.855915,0.0,0.0,2410.466,0.021804851275359766
209.0,2.654823,0.02253591,1529.5856,1.0001065,57.31062,0.0,2.1149287,2445.7966,0.005525682633509835
210.0,14.687075,2.478397,1536.0333,2.1788075,57.52262,0.0,0.602439,2430.7961,0.03056931120646974
211.0,18.94471,0.21573146,1510.4154,7.5140142,58.256905,0.0,1.8107849,2430.5437,0.03943104773279324
212.0,30.720156,0.079412416,1506.8075,0.053222753,58.113667,0.0,3.4037504,2421.8506,0.06394016716571974
213.0,7.69141,3.2721543,1521.1185,0.06248181,57.03186,0.0,0.14754821,2420.6868,0.01600871019709267
214.0,0.06697033,0.94196373,1520.982,0.27347568,56.639034,0.0,20.608246,2418.0205,0.00013939038772024047
215.0,12.233723,1.357359,1521.0887,0.081701666,57.5086,0.0,1.2971364,2418.8323,0.025462965377108748
216.0,0.0,0.50230014,1527.2969,0.0,56.909393,0.0,0.0,2414.347,0.0
217.0,2.2854252,0.0,1519.5775,5.802189,55.956955,0.0,0.47311386,2414.8457,0.004756827185420937
218.0,0.20898466,0.4552821,1536.7108,0.058444764,55.628296,0.0,0.9785787,2421.1973,0.0004349754660049846
219.0,3.6699224,0.56563497,1519.6989,0.1837981,56.62417,0.0,1.3834636,2438.7266,0.007638485178751352
220.0,3.6364722,6.588611,1536.4253,1.9472741,55.826595,0.0,1.9408715,2396.0886,0.007568863133544295
221.0,18.494696,1.9084673,1517.6306,0.0,55.369514,0.0,4.1934557,2427.317,0.038494402841891324
222.0,29.394547,4.6448627,1533.5497,9.165217,57.92272,0.0,0.27552384,2393.431,0.06118107660955666
223.0,31.720758,0.7403796,1528.4247,3.1248171,54.99701,0.0,0.043905754,2410.332,0.0660227997822364
224.0,0.0,2.0302887,1550.3009,0.63757473,54.935024,0.0,0.6338138,2419.6167,0.0
225.0,8.812365,1.5029838,1535.6022,2.9161005,55.883396,0.0,1.8495129,2393.5168,0.018341835513051886
226.0,1.7517741,3.5002134,1525.556,0.051643424,55.37065,0.0,0.87805045,2418.2078,0.003646099097515641
227.0,0.8016831,1.3484465,1514.8379,9.376701,54.60503,0.0,0.0,2428.4045,0.0016686033235521194
228.0,0.55647886,0.042946167,1530.2301,1.7368462,55.157345,0.0,9.636229,2434.279,0.0011582412654992057
229.0,30.836678,0.12242976,1519.9924,0.1706264,52.732067,0.0,6.5706406,2408.5676,0.06418269650876175
230.0,1.7384908,0.0,1530.007,6.494126,54.19273,0.0,1.0632782,2438.3342,0.0036184515258574357
231.0,0.4268083,7.3216276,1533.584,1.5981714,55.407642,0.0,0.0,2444.0193,0.0008883482147336627
232.0,0.0,8.175102,1534.9901,5.27607,54.05629,0.0,9.938845,2417.6357,0.0
233.0,3.087575,0.053715464,1528.6978,1.7070005,55.049534,0.0,0.0,2438.435,0.006426401570190794
234.0,35.8265,0.19824488,1526.5927,9.2504225,54.773773,0.0,2.6497443,2420.3901,0.07456838661813245
235.0,32.4647,1.8955274,1511.9728,0.9040788,54.93422,0.0,1.3361855,2404.0596,0.06757121894709935
236.0,3.108677,1.9035109,1536.045,7.351108,54.219463,0.0,0.7652377,2410.9587,0.0064703229889892895
